id,x,y,z,yaw,pitch,roll
1,-285.128,226.336,-12.6015,2.44792,0.0131248,0.040856
2,-284.896,226.125,-12.6008,2.44787,0.0146017,0.0423347
3,-285.363,226.537,-12.5986,2.44818,0.0127179,0.0380574
4,-285.582,226.744,-12.6071,2.44875,0.0120743,0.0339714
5,-285.794,226.942,-12.6119,2.44996,0.0110739,0.0315736
6,-286.012,227.14,-12.6179,2.45059,0.0109746,0.0315867
7,-286.226,227.328,-12.6135,2.44974,0.0103583,0.0320218
8,-286.44,227.511,-12.6134,2.4504,0.0095662,0.0327656
9,-286.647,227.69,-12.6183,2.45107,0.00787293,0.034073
10,-286.857,227.877,-12.6143,2.45113,0.00700001,0.0333259
11,-287.056,228.048,-12.5975,2.45139,0.00280754,0.0335191
12,-287.251,228.213,-12.5984,2.45099,-0.00189685,0.0359249
13,-287.445,228.374,-12.6187,2.4508,-0.00387497,0.0381426
14,-287.632,228.534,-12.6298,2.45051,-0.00300609,0.0388167
15,-287.822,228.693,-12.6427,2.45095,-0.00164492,0.0398843
16,-287.994,228.845,-12.6338,2.45112,-0.000428169,0.0400346
17,-288.177,229.007,-12.6475,2.45156,-0.000588323,0.0407775
18,-288.354,229.147,-12.6642,2.452,0.00173713,0.0411584
19,-288.515,229.289,-12.6718,2.45273,0.0052773,0.0405222
20,-288.676,229.428,-12.6635,2.45312,0.00666319,0.0376174
21,-288.844,229.572,-12.6557,2.45349,0.00637723,0.0352033
22,-289.002,229.71,-12.6623,2.45456,0.00585691,0.0347355
23,-289.157,229.841,-12.6745,2.45433,0.00671703,0.0371105
24,-289.285,229.986,-12.678,2.45403,0.00993787,0.0379002
25,-289.473,230.09,-12.6935,2.45471,0.0123276,0.0415467
26,-289.598,230.248,-12.6816,2.45599,0.0141227,0.042283
27,-289.739,230.369,-12.678,2.45635,0.0143768,0.0441037
28,-289.919,230.472,-12.6871,2.45596,0.0134985,0.0453788
29,-290.061,230.594,-12.6786,2.45681,0.0117637,0.0445992
30,-290.199,230.709,-12.6907,2.45844,0.00938306,0.0447419
31,-290.335,230.828,-12.68,2.45835,0.00837173,0.0432553
32,-290.463,230.949,-12.6624,2.45877,0.00565279,0.0412152
33,-290.583,231.062,-12.6741,2.45743,0.00171994,0.0423514
34,-290.727,231.181,-12.6665,2.45716,-0.000781728,0.0422804
35,-290.844,231.299,-12.619,2.45706,-0.00675437,0.0401903
36,-290.969,231.431,-12.6281,2.45622,-0.0153245,0.0403193
37,-291.105,231.543,-12.6682,2.45671,-0.0154819,0.0405325
38,-291.229,231.636,-12.7204,2.45654,-0.00910117,0.041294
39,-291.345,231.741,-12.7281,2.45822,0.000282474,0.0405172
40,-291.468,231.834,-12.7158,2.45828,0.00539826,0.0414953
41,-291.591,231.943,-12.6988,2.45796,0.00265691,0.0432964
42,-291.714,232.064,-12.7187,2.45687,-0.00088396,0.0473908
43,-291.848,232.158,-12.7381,2.45574,-0.000681719,0.0528637
44,-291.978,232.265,-12.7444,2.45502,0.00127914,0.0566445
45,-292.098,232.37,-12.7349,2.45538,0.004155,0.055323
46,-292.205,232.468,-12.7311,2.45602,0.00683165,0.0505916
47,-292.313,232.568,-12.7257,2.45734,0.00759339,0.0454209
48,-292.429,232.668,-12.7288,2.45745,0.00589589,0.0455526
49,-292.543,232.773,-12.7422,2.45578,0.00428391,0.0476882
50,-292.666,232.863,-12.7599,2.45541,0.00481393,0.0489457
51,-292.774,232.966,-12.751,2.45595,0.00602916,0.0503761
52,-292.894,233.074,-12.7486,2.4552,0.0059239,0.0505167
53,-293.016,233.179,-12.7493,2.45449,0.00687171,0.0487315
54,-293.144,233.287,-12.7594,2.45611,0.0104818,0.0480652
55,-293.258,233.397,-12.7488,2.45691,0.0116975,0.0482062
56,-293.392,233.514,-12.7114,2.45666,0.00848493,0.0449875
57,-293.537,233.646,-12.7216,2.45516,-4.28406e-05,0.0425003
58,-293.672,233.75,-12.7555,2.45524,-0.00253657,0.0421971
59,-293.8,233.857,-12.7597,2.45749,-0.00118218,0.043688
60,-293.926,233.966,-12.7538,2.45817,-0.00224638,0.0470484
61,-294.053,234.079,-12.743,2.45765,-0.00446244,0.0484687
62,-294.189,234.206,-12.7686,2.45631,-0.00630029,0.0499353
63,-294.317,234.313,-12.773,2.45533,-0.00580576,0.050788
64,-294.448,234.419,-12.7726,2.45603,-0.00535632,0.0520735
65,-294.573,234.542,-12.7815,2.45503,-0.00495611,0.0520197
66,-294.704,234.66,-12.7782,2.45431,-0.00333954,0.049737
67,-294.83,234.778,-12.7825,2.45541,-0.00357133,0.0481099
68,-294.958,234.895,-12.7911,2.45588,-0.00365886,0.0481473
69,-295.092,235.02,-12.7913,2.45527,-0.00387823,0.0478756
70,-295.226,235.131,-12.7941,2.45547,-0.00415635,0.0485339
71,-295.358,235.251,-12.795,2.45538,-0.00386933,0.0491547
72,-295.492,235.369,-12.7894,2.4549,-0.00439757,0.049093
73,-295.624,235.484,-12.7895,2.45416,-0.00491898,0.0488992
74,-295.763,235.599,-12.7894,2.45446,-0.00485152,0.0488083
75,-295.897,235.706,-12.7968,2.4553,-0.0053077,0.0494654
76,-296.021,235.815,-12.7986,2.45461,-0.00506933,0.0490102
77,-296.161,235.929,-12.7931,2.45391,-0.00437618,0.0474469
78,-296.305,236.052,-12.7848,2.45399,-0.00474261,0.0450867
79,-296.449,236.179,-12.7961,2.45533,-0.00508642,0.0447051
80,-296.592,236.308,-12.8016,2.45535,-0.00315676,0.0444571
81,-296.741,236.43,-12.8031,2.45516,-0.00149282,0.0446004
82,-296.88,236.55,-12.7914,2.45548,-0.000786636,0.0459775
83,-297.013,236.674,-12.787,2.4555,-0.00119838,0.0464398
84,-297.159,236.797,-12.7849,2.45493,-0.00124033,0.0461212
85,-297.295,236.916,-12.7896,2.45474,-0.000543581,0.0456539
86,-297.439,237.038,-12.7965,2.45428,0.000823356,0.0453843
87,-297.577,237.16,-12.7909,2.45431,0.000818839,0.0448302
88,-297.731,237.293,-12.791,2.45504,-0.000916524,0.045146
89,-297.866,237.407,-12.7981,2.45594,-0.0011334,0.0457827
90,-298.014,237.539,-12.7933,2.4557,-0.00130739,0.0455208
91,-298.157,237.672,-12.8004,2.45573,-0.0021524,0.0445939
92,-298.299,237.802,-12.8049,2.45633,-0.0023739,0.044148
93,-298.44,237.917,-12.8101,2.45696,-0.00250381,0.0435568
94,-298.588,238.049,-12.8137,2.4566,-0.00293979,0.0425018
95,-298.734,238.19,-12.8122,2.45606,-0.0039215,0.0412057
96,-298.88,238.315,-12.8059,2.45652,-0.00547437,0.0400902
97,-299.033,238.44,-12.807,2.4572,-0.00711282,0.0389421
98,-299.185,238.579,-12.8113,2.45834,-0.00902208,0.0375204
99,-299.324,238.702,-12.8216,2.45932,-0.00905873,0.0367926
100,-299.476,238.825,-12.8333,2.45943,-0.00732835,0.0355944
101,-299.627,238.959,-12.8383,2.45982,-0.00605672,0.034969
102,-299.772,239.081,-12.8477,2.46021,-0.00530511,0.0375974
103,-299.923,239.192,-12.8404,2.46021,-0.00490328,0.0401093
104,-300.077,239.327,-12.8283,2.46096,-0.00522941,0.0381585
105,-300.231,239.457,-12.8339,2.46163,-0.00566201,0.0358612
106,-300.384,239.595,-12.8427,2.46192,-0.00507621,0.033966
107,-300.53,239.724,-12.8431,2.46251,-0.00404838,0.0328226
108,-300.684,239.845,-12.8491,2.46317,-0.00370277,0.0320511
109,-300.835,239.972,-12.8439,2.46417,-0.00376708,0.0309754
110,-300.986,240.104,-12.8472,2.46434,-0.00385179,0.0304249
111,-301.143,240.241,-12.8467,2.46452,-0.00419141,0.0298565
112,-301.294,240.367,-12.8482,2.46447,-0.0037827,0.0286012
113,-301.454,240.498,-12.8498,2.46467,-0.00243238,0.0266436
114,-301.627,240.633,-12.8446,2.46759,-0.00226018,0.0230888
115,-301.779,240.768,-12.847,2.46984,-0.00513809,0.0218353
116,-301.938,240.9,-12.8446,2.47193,-0.00588235,0.0195426
117,-302.116,241.023,-12.8556,2.47456,-0.00609004,0.018245
118,-302.283,241.149,-12.8565,2.47644,-0.00579623,0.0194224
119,-302.442,241.263,-12.8606,2.47944,-0.00520361,0.0184121
120,-302.612,241.397,-12.8703,2.48197,-0.00469762,0.0183394
121,-302.782,241.533,-12.8668,2.48358,-0.0045253,0.0184077
122,-302.947,241.666,-12.8616,2.48582,-0.0046818,0.0178016
123,-303.117,241.795,-12.8637,2.48832,-0.00486095,0.0172216
124,-303.29,241.922,-12.8586,2.49161,-0.00442776,0.0160334
125,-303.453,242.041,-12.8639,2.49462,-0.00475186,0.0151964
126,-303.625,242.166,-12.8632,2.49785,-0.00493415,0.0143027
127,-303.797,242.281,-12.8678,2.50087,-0.0048443,0.0135559
128,-303.975,242.405,-12.8678,2.50492,-0.00426407,0.0127387
129,-304.146,242.523,-12.8693,2.51048,-0.00411824,0.0113596
130,-304.321,242.644,-12.8702,2.51522,-0.00415249,0.011247
131,-304.496,242.753,-12.8761,2.51984,-0.00441792,0.0127207
132,-304.68,242.872,-12.8745,2.52607,-0.0065531,0.0155657
133,-304.868,242.984,-12.8619,2.53388,-0.00861257,0.0168383
134,-305.059,243.09,-12.8524,2.54367,-0.0105462,0.0150637
135,-305.244,243.196,-12.8552,2.55384,-0.0113671,0.0112295
136,-305.435,243.278,-12.8648,2.56485,-0.0118156,0.00854764
137,-305.631,243.364,-12.874,2.57633,-0.0114372,0.00795576
138,-305.831,243.45,-12.876,2.5879,-0.011521,0.00826231
139,-306.029,243.533,-12.8705,2.59974,-0.0117636,0.00811797
140,-306.231,243.608,-12.8725,2.61237,-0.0119406,0.0081333
141,-306.437,243.675,-12.8708,2.62513,-0.0127561,0.00827803
142,-306.636,243.745,-12.864,2.63784,-0.0129549,0.00712297
143,-306.835,243.819,-12.8624,2.65205,-0.0127186,0.00439513
144,-307.042,243.901,-12.8721,2.66773,-0.013975,0.00266145
145,-307.248,243.96,-12.8729,2.68225,-0.0141683,0.00432428
146,-307.449,244.011,-12.8726,2.69705,-0.0134604,0.00552573
147,-307.653,244.059,-12.8762,2.71286,-0.0132434,0.00671967
148,-307.871,244.108,-12.8692,2.7303,-0.0132217,0.00785209
149,-308.087,244.142,-12.8602,2.74837,-0.012214,0.00775265
150,-308.316,244.181,-12.8621,2.76745,-0.0112771,0.00623161
151,-308.545,244.21,-12.8675,2.78828,-0.0108638,0.00524026
152,-308.766,244.232,-12.8711,2.8092,-0.0108628,0.00373092
153,-308.985,244.241,-12.8755,2.83025,-0.0109931,0.00271722
154,-309.216,244.255,-12.8794,2.85294,-0.0105218,0.00293007
155,-309.455,244.25,-12.8814,2.87654,-0.00986219,0.00382064
156,-309.682,244.24,-12.8769,2.89991,-0.00855552,0.00292255
157,-309.911,244.236,-12.8727,2.92382,-0.00691076,0.00104724
158,-310.143,244.211,-12.8722,2.94809,-0.00628405,-0.000765272
159,-310.375,244.173,-12.8745,2.97256,-0.00614526,-0.0010794
160,-310.61,244.132,-12.8717,2.99784,-0.00590501,-0.00102478
161,-310.834,244.085,-12.8796,3.02324,-0.00555821,0.000183629
162,-311.061,244.037,-12.8827,3.04806,-0.00554628,0.00120693
163,-311.293,243.981,-12.8841,3.07347,-0.00522671,0.00233062
164,-311.53,243.923,-12.8819,3.09929,-0.00559846,0.00371915
165,-311.767,243.847,-12.8773,3.1258,-0.00606484,0.00416977
166,-312.001,243.772,-12.8836,-3.13061,-0.00571614,0.00455551
167,-312.24,243.692,-12.8829,-3.10382,-0.00435982,0.00485316
168,-312.465,243.592,-12.8887,-3.07696,-0.00374106,0.00505706
169,-312.701,243.499,-12.8869,-3.0501,-0.00425246,0.00566161
170,-312.946,243.39,-12.8968,-3.02209,-0.00459214,0.00640681
171,-313.185,243.269,-12.9042,-2.9938,-0.00436717,0.00753693
172,-313.416,243.159,-12.9133,-2.96545,-0.00333563,0.00867278
173,-313.65,243.032,-12.9092,-2.93715,-0.00111609,0.0102227
174,-313.871,242.904,-12.9173,-2.90901,0.0013058,0.0102737
175,-314.11,242.76,-12.9275,-2.87964,0.00118293,0.0112254
176,-314.349,242.604,-12.9357,-2.8506,-0.000997518,0.0131607
177,-314.589,242.442,-12.9358,-2.8226,-0.00301008,0.0130871
