id,x,y,z,yaw,pitch,roll
1,-285.363,226.537,-12.5996,2.44814,0.0126387,0.0382238
2,-285.129,226.336,-12.6012,2.44791,0.0131263,0.0409769
3,-284.895,226.125,-12.6008,2.44787,0.0146003,0.0423395
4,-285.582,226.744,-12.6071,2.44874,0.0120979,0.0338934
5,-285.794,226.942,-12.6119,2.44995,0.011074,0.03159
6,-286.012,227.14,-12.6179,2.45058,0.0109746,0.0315866
7,-286.226,227.329,-12.6135,2.44974,0.0103594,0.0320098
8,-286.44,227.511,-12.6134,2.45039,0.00956723,0.032762
9,-286.648,227.69,-12.6184,2.45106,0.00787458,0.0340728
10,-286.857,227.877,-12.6143,2.45113,0.00700493,0.0333202
11,-287.056,228.048,-12.5975,2.45139,0.00280693,0.033521
12,-287.252,228.213,-12.5985,2.45099,-0.00190027,0.0359385
13,-287.446,228.374,-12.6189,2.45081,-0.00387257,0.0381718
14,-287.632,228.534,-12.6298,2.45051,-0.00300421,0.0388147
15,-287.821,228.693,-12.6427,2.45094,-0.00164542,0.0398804
16,-287.995,228.845,-12.6338,2.45112,-0.000430799,0.0400347
17,-288.177,229.007,-12.6476,2.45156,-0.000586085,0.0407851
18,-288.354,229.148,-12.664,2.45199,0.00173428,0.041152
19,-288.515,229.289,-12.6716,2.45273,0.00528689,0.04052
20,-288.676,229.428,-12.6635,2.45312,0.00666478,0.0376201
21,-288.844,229.572,-12.6557,2.45349,0.00637592,0.0352114
22,-289.002,229.71,-12.6622,2.45455,0.00585719,0.0347391
23,-289.156,229.841,-12.6741,2.4543,0.00671807,0.0370897
24,-289.285,229.986,-12.6781,2.45403,0.00993775,0.0379046
25,-289.473,230.09,-12.6935,2.45471,0.0123277,0.0415481
26,-289.598,230.247,-12.6816,2.45599,0.0141225,0.0422872
27,-289.739,230.369,-12.678,2.45635,0.0143785,0.0441047
28,-289.919,230.472,-12.6869,2.45595,0.0135104,0.0453362
29,-290.061,230.594,-12.6786,2.45681,0.011764,0.0445998
30,-290.199,230.709,-12.6907,2.45844,0.00938721,0.0447382
31,-290.335,230.828,-12.68,2.45835,0.00836113,0.043247
32,-290.463,230.949,-12.6624,2.45877,0.00565164,0.041217
33,-290.583,231.062,-12.674,2.45743,0.00172254,0.0423463
34,-290.726,231.181,-12.6664,2.45716,-0.000779277,0.0422782
35,-290.844,231.299,-12.619,2.45706,-0.00675275,0.0401986
36,-290.969,231.431,-12.6282,2.45622,-0.0153286,0.0403214
37,-291.105,231.543,-12.668,2.45672,-0.0154729,0.0405181
38,-291.229,231.636,-12.7204,2.45655,-0.00910126,0.0412945
39,-291.345,231.741,-12.7281,2.45822,0.000281346,0.0405223
40,-291.468,231.834,-12.7159,2.45828,0.00539999,0.0414662
41,-291.591,231.943,-12.6988,2.45796,0.00266052,0.0433033
42,-291.715,232.064,-12.7187,2.45687,-0.000883841,0.0473909
43,-291.848,232.157,-12.7382,2.45574,-0.00067923,0.0528777
44,-291.978,232.265,-12.7445,2.45501,0.00128318,0.0566494
45,-292.098,232.37,-12.7349,2.45538,0.00415233,0.0553289
46,-292.205,232.468,-12.7311,2.45603,0.00683297,0.0505863
47,-292.313,232.568,-12.7257,2.45734,0.00758992,0.0454289
48,-292.429,232.668,-12.7288,2.45745,0.00589788,0.0455522
49,-292.543,232.773,-12.7422,2.45579,0.00428492,0.047688
50,-292.666,232.863,-12.7599,2.45541,0.0048147,0.0489458
51,-292.774,232.966,-12.751,2.45595,0.00603036,0.0503728
52,-292.894,233.074,-12.7486,2.4552,0.0059193,0.0505189
53,-293.016,233.179,-12.7493,2.45449,0.00687006,0.0487341
54,-293.145,233.287,-12.7594,2.45611,0.0104819,0.0480725
55,-293.27,233.408,-12.7474,2.4571,0.0118296,0.048161
56,-293.392,233.514,-12.7115,2.45666,0.00848366,0.044991
57,-293.537,233.646,-12.7216,2.45516,-4.30982e-05,0.0424969
58,-293.672,233.75,-12.7553,2.45524,-0.00253125,0.0421912
59,-293.8,233.857,-12.7597,2.45749,-0.00117693,0.0436886
60,-293.926,233.966,-12.7538,2.45817,-0.00224603,0.0470489
61,-294.053,234.079,-12.743,2.45765,-0.00446114,0.0484698
62,-294.189,234.206,-12.7688,2.45631,-0.00630725,0.0499522
63,-294.317,234.313,-12.7731,2.45533,-0.00580556,0.0507898
64,-294.448,234.42,-12.7725,2.45603,-0.00535344,0.0520766
65,-294.573,234.542,-12.7814,2.45503,-0.00495963,0.052021
66,-294.704,234.66,-12.7782,2.4543,-0.00334054,0.0497329
67,-294.83,234.778,-12.7824,2.45541,-0.00357009,0.0481119
68,-294.958,234.895,-12.7911,2.45588,-0.00365854,0.048148
69,-295.093,235.02,-12.7913,2.45527,-0.00387662,0.0478753
70,-295.226,235.131,-12.7941,2.45547,-0.00415512,0.0485333
71,-295.358,235.251,-12.795,2.45538,-0.00386978,0.0491548
72,-295.492,235.369,-12.7894,2.4549,-0.00439793,0.0490935
73,-295.624,235.484,-12.7895,2.45418,-0.00492418,0.0489184
74,-295.763,235.599,-12.7894,2.45447,-0.00485154,0.0488095
75,-295.897,235.706,-12.7968,2.4553,-0.00530357,0.0494672
76,-296.021,235.815,-12.7985,2.45461,-0.00506792,0.0490103
77,-296.161,235.929,-12.7931,2.45392,-0.00437451,0.0474537
78,-296.305,236.052,-12.7848,2.45399,-0.00474251,0.0450876
79,-296.449,236.179,-12.7962,2.45534,-0.0050853,0.0447002
80,-296.592,236.308,-12.8016,2.45535,-0.00315647,0.0444566
81,-296.742,236.43,-12.8031,2.45516,-0.00148718,0.0445969
82,-296.88,236.55,-12.7914,2.45548,-0.000779518,0.0459766
83,-297.013,236.674,-12.7871,2.45551,-0.00120609,0.0464409
84,-297.159,236.797,-12.785,2.45493,-0.00124221,0.0461219
85,-297.295,236.916,-12.7895,2.45472,-0.000538011,0.0456545
86,-297.439,237.038,-12.7964,2.45427,0.000832939,0.0453778
87,-297.577,237.16,-12.791,2.45431,0.000814245,0.0448347
88,-297.731,237.293,-12.791,2.45504,-0.000917255,0.0451458
89,-297.866,237.407,-12.7981,2.45595,-0.00113301,0.0457957
90,-298.014,237.539,-12.7933,2.4557,-0.0013087,0.0455294
91,-298.157,237.672,-12.8004,2.45574,-0.00215167,0.044592
92,-298.299,237.802,-12.8049,2.45633,-0.0023757,0.0441475
93,-298.44,237.917,-12.8101,2.45696,-0.00249938,0.0435555
94,-298.588,238.049,-12.8137,2.4566,-0.00293963,0.0425049
95,-298.734,238.19,-12.8122,2.45606,-0.00391951,0.0411972
96,-298.88,238.316,-12.8061,2.45652,-0.00549015,0.0400955
97,-299.033,238.44,-12.8069,2.45721,-0.00711177,0.038941
98,-299.184,238.579,-12.8113,2.45835,-0.00902108,0.0375194
99,-299.324,238.702,-12.8216,2.45933,-0.00905898,0.0367925
100,-299.476,238.825,-12.8333,2.45943,-0.00732316,0.0355884
101,-299.627,238.959,-12.8384,2.45982,-0.00605599,0.0349699
102,-299.772,239.081,-12.8478,2.46022,-0.00530323,0.0375957
103,-299.923,239.192,-12.8404,2.46022,-0.00490189,0.0401097
104,-300.077,239.327,-12.8284,2.46097,-0.00522784,0.0381583
105,-300.231,239.456,-12.8339,2.46164,-0.00566616,0.0358672
106,-300.384,239.595,-12.8428,2.46192,-0.00507846,0.0339666
107,-300.53,239.724,-12.8431,2.46251,-0.0040483,0.0328198
108,-300.684,239.845,-12.8491,2.46317,-0.00369917,0.0320466
109,-300.835,239.972,-12.8441,2.46418,-0.0037515,0.0309849
110,-300.986,240.104,-12.8472,2.46434,-0.00385418,0.030426
111,-301.143,240.241,-12.8469,2.46452,-0.00419948,0.0298702
112,-301.294,240.367,-12.8482,2.46447,-0.00378476,0.0286018
