id,x,y,z,yaw,pitch,roll
1,-285.363,226.537,-12.5996,2.44814,0.0126387,0.0382238
2,-285.134,226.34,-12.6009,2.44793,0.0130641,0.0410441
3,-284.896,226.125,-12.6009,2.44787,0.0145909,0.0423507
4,-285.58,226.744,-12.6071,2.44873,0.012098,0.0338787
5,-285.793,226.941,-12.6121,2.44993,0.0110841,0.0315748
6,-285.996,227.129,-12.6175,2.45048,0.0110662,0.0314856
7,-286.224,227.328,-12.6141,2.44971,0.0103766,0.0320134
8,-286.438,227.51,-12.6133,2.45037,0.00956344,0.0327591
9,-286.646,227.689,-12.6177,2.45104,0.00793975,0.0339971
10,-286.855,227.876,-12.6143,2.45112,0.00700057,0.0333297
11,-287.055,228.046,-12.5979,2.45139,0.0028224,0.0335334
12,-287.25,228.213,-12.5985,2.45099,-0.00187403,0.0358595
13,-287.445,228.374,-12.6187,2.4508,-0.00387085,0.0381247
14,-287.631,228.532,-12.6298,2.45051,-0.00299873,0.0388205
15,-287.818,228.69,-12.6423,2.45095,-0.00162316,0.0398006
16,-287.994,228.844,-12.6343,2.45111,-0.000441695,0.0400455
17,-288.175,229.005,-12.6473,2.45151,-0.000546871,0.0407661
18,-288.353,229.145,-12.6643,2.45202,0.00172401,0.0411729
19,-288.514,229.288,-12.6721,2.45274,0.00525853,0.0405317
20,-288.675,229.428,-12.6637,2.45311,0.00665886,0.0376163
21,-288.843,229.571,-12.6559,2.45351,0.00636401,0.0351916
22,-289,229.709,-12.6624,2.45452,0.0058665,0.0347381
23,-289.144,229.832,-12.6711,2.45427,0.00675947,0.0368806
24,-289.284,229.986,-12.6782,2.45403,0.00994236,0.0378869
25,-289.472,230.089,-12.6937,2.45474,0.012361,0.041499
26,-289.596,230.247,-12.6815,2.45599,0.0141363,0.0422831
27,-289.738,230.369,-12.6779,2.45636,0.0143955,0.0440629
28,-289.917,230.472,-12.6867,2.45595,0.0135439,0.0452284
29,-290.06,230.593,-12.6784,2.45682,0.0117778,0.0445794
30,-290.195,230.708,-12.6891,2.45834,0.00940919,0.0446393
31,-290.331,230.825,-12.6784,2.45837,0.00848745,0.0432122
32,-290.463,230.949,-12.662,2.45875,0.00566131,0.0412005
33,-290.582,231.06,-12.6734,2.45742,0.00178269,0.0422848
34,-290.725,231.179,-12.6653,2.45719,-0.0007163,0.0422559
35,-290.84,231.298,-12.619,2.45704,-0.00669606,0.0402057
36,-290.968,231.431,-12.6273,2.45619,-0.0152673,0.0402734
37,-291.104,231.542,-12.6673,2.45669,-0.0154578,0.0404559
38,-291.227,231.636,-12.72,2.45651,-0.00915687,0.0412594
39,-291.344,231.739,-12.7284,2.45824,0.000270643,0.0405395
40,-291.466,231.833,-12.7172,2.45828,0.00534938,0.0415801
41,-291.589,231.942,-12.6986,2.45795,0.00268099,0.0432787
42,-291.713,232.062,-12.717,2.45684,-0.000799189,0.0473232
43,-291.847,232.157,-12.7373,2.45572,-0.000663348,0.0527463
44,-291.976,232.263,-12.7445,2.45493,0.00132143,0.0566417
45,-292.096,232.368,-12.7357,2.45537,0.00407233,0.0553772
46,-292.204,232.467,-12.7317,2.45603,0.00679904,0.0506737
47,-292.312,232.566,-12.7261,2.45726,0.0075407,0.0454678
48,-292.428,232.667,-12.7285,2.45741,0.005922,0.0455469
49,-292.54,232.77,-12.741,2.45575,0.00434758,0.0476049
50,-292.654,232.852,-12.7582,2.45523,0.00489534,0.0488458
51,-292.772,232.964,-12.751,2.4559,0.00604043,0.0503681
52,-292.883,233.061,-12.7485,2.45515,0.00602881,0.0505327
53,-293.014,233.177,-12.7494,2.45448,0.00687672,0.0487598
54,-293.143,233.286,-12.7599,2.45608,0.0104295,0.0481053
55,-293.258,233.397,-12.7489,2.45691,0.0116907,0.048208
56,-293.392,233.514,-12.7115,2.45666,0.00848643,0.0449904
57,-293.535,233.644,-12.7204,2.45515,7.35216e-05,0.0424755
58,-293.671,233.749,-12.7546,2.45521,-0.00246506,0.0421445
59,-293.797,233.855,-12.7596,2.45743,-0.00116983,0.0437188
60,-293.925,233.965,-12.7535,2.45816,-0.0022204,0.0470241
61,-294.053,234.077,-12.743,2.45768,-0.00443662,0.0484782
62,-294.189,234.205,-12.7682,2.45632,-0.0062704,0.0499027
63,-294.316,234.312,-12.773,2.45535,-0.00580024,0.0507478
64,-294.447,234.419,-12.7725,2.45603,-0.00535867,0.0520744
65,-294.572,234.541,-12.7815,2.45507,-0.00497651,0.0520447
66,-294.703,234.658,-12.7785,2.45433,-0.00333657,0.0497697
67,-294.821,234.769,-12.7832,2.4554,-0.00352533,0.0482113
68,-294.958,234.894,-12.7911,2.45588,-0.00365483,0.0481543
69,-295.091,235.018,-12.7913,2.45528,-0.00387078,0.0478766
70,-295.225,235.13,-12.7941,2.45545,-0.00413078,0.0485441
71,-295.357,235.25,-12.7951,2.4554,-0.00385178,0.049155
72,-295.49,235.366,-12.7896,2.45493,-0.00438746,0.0491157
73,-295.624,235.484,-12.7898,2.45418,-0.00490864,0.0489195
74,-295.756,235.592,-12.79,2.45445,-0.00487385,0.0488475
75,-295.896,235.705,-12.7965,2.45528,-0.00528187,0.0494567
76,-296.019,235.815,-12.7989,2.45463,-0.00506934,0.04904
77,-296.161,235.928,-12.7933,2.45395,-0.00436295,0.0475126
78,-296.303,236.05,-12.7847,2.45403,-0.00468199,0.0451477
79,-296.447,236.177,-12.7962,2.45533,-0.00504498,0.0447128
80,-296.591,236.306,-12.8016,2.45538,-0.00316501,0.0444915
81,-296.741,236.429,-12.8033,2.45516,-0.00149211,0.0446072
82,-296.879,236.549,-12.7915,2.45547,-0.000783263,0.0459847
83,-297.011,236.672,-12.7867,2.45551,-0.00112627,0.0464279
84,-297.158,236.796,-12.785,2.45493,-0.00122688,0.0461234
85,-297.294,236.914,-12.7893,2.45472,-0.000509788,0.045648
