id,x,y,z,yaw,pitch,roll
1,-285.127,226.336,-12.6021,2.44792,0.013112,0.0408761
2,-284.897,226.126,-12.6008,2.44786,0.0145808,0.0423719
3,-285.362,226.536,-12.5986,2.44814,0.0127379,0.0380403
4,-285.579,226.743,-12.6071,2.44872,0.0120744,0.0339808
5,-285.793,226.941,-12.6121,2.44993,0.0110829,0.0315736
6,-285.996,227.129,-12.6176,2.45048,0.0110692,0.0314865
7,-286.224,227.328,-12.6141,2.44971,0.0103788,0.0320079
8,-286.438,227.51,-12.6133,2.45037,0.00956281,0.0327611
9,-286.646,227.689,-12.6175,2.45104,0.00796302,0.0339855
10,-286.855,227.876,-12.6143,2.45112,0.00699885,0.0333311
11,-287.055,228.046,-12.5978,2.45139,0.0028198,0.0335286
12,-287.25,228.213,-12.5985,2.45098,-0.00187052,0.0358659
13,-287.445,228.374,-12.6187,2.4508,-0.00386655,0.0381307
14,-287.631,228.533,-12.6297,2.45051,-0.00299934,0.0388213
15,-287.818,228.69,-12.6423,2.45095,-0.00162604,0.0398009
16,-287.994,228.844,-12.6343,2.4511,-0.000437827,0.0400534
17,-288.175,229.005,-12.6474,2.45151,-0.000547666,0.040768
18,-288.353,229.146,-12.6644,2.45201,0.00173005,0.0411817
19,-288.514,229.288,-12.672,2.45274,0.00526061,0.0405269
20,-288.675,229.428,-12.6637,2.45311,0.00665912,0.0376161
21,-288.843,229.571,-12.6559,2.4535,0.00636265,0.0351919
22,-288.999,229.708,-12.6625,2.4545,0.0058804,0.0347216
23,-289.144,229.832,-12.6712,2.45427,0.00674795,0.0368795
24,-289.284,229.986,-12.6782,2.45403,0.00993954,0.0378906
25,-289.472,230.089,-12.6937,2.45475,0.0123604,0.0415007
26,-289.596,230.247,-12.6816,2.45599,0.0141354,0.0422822
27,-289.738,230.369,-12.6778,2.45637,0.0143992,0.04406
28,-289.917,230.472,-12.6867,2.45595,0.0135398,0.0452251
29,-290.059,230.593,-12.6784,2.45682,0.0117932,0.0445774
30,-290.197,230.709,-12.6903,2.45839,0.00938778,0.0447128
31,-290.331,230.825,-12.6784,2.45838,0.00848505,0.0432273
32,-290.462,230.949,-12.662,2.45875,0.00566056,0.0412004
33,-290.582,231.06,-12.6734,2.45742,0.00178237,0.0422862
34,-290.725,231.179,-12.6653,2.45719,-0.000716685,0.042257
35,-290.841,231.298,-12.619,2.45704,-0.00669873,0.0402121
36,-290.967,231.43,-12.6272,2.45619,-0.0152707,0.0402752
37,-291.104,231.543,-12.6675,2.45671,-0.0154661,0.0404832
38,-291.227,231.636,-12.72,2.45651,-0.00916335,0.0412624
39,-291.344,231.739,-12.7284,2.45824,0.000271012,0.0405407
40,-291.466,231.833,-12.7168,2.45828,0.00536933,0.0415604
41,-291.59,231.942,-12.6986,2.45796,0.00268213,0.0432817
42,-291.713,232.062,-12.717,2.45684,-0.000800432,0.0473229
43,-291.847,232.157,-12.7373,2.45572,-0.000663171,0.0527458
44,-291.976,232.263,-12.7445,2.45493,0.00132406,0.0566407
45,-292.096,232.368,-12.7357,2.45537,0.00407881,0.0553733
46,-292.204,232.467,-12.7318,2.45603,0.00679736,0.0506717
47,-292.312,232.567,-12.726,2.45729,0.00754949,0.0454444
48,-292.427,232.666,-12.7285,2.45741,0.00593723,0.0455532
49,-292.54,232.769,-12.741,2.45575,0.00434812,0.0476004
50,-292.654,232.852,-12.7583,2.45522,0.00489513,0.0488471
51,-292.772,232.964,-12.751,2.4559,0.00603972,0.0503682
52,-292.883,233.061,-12.7484,2.45515,0.00602689,0.0505374
53,-293.014,233.177,-12.7494,2.45448,0.00687813,0.048757
54,-293.143,233.286,-12.7599,2.45607,0.0104276,0.0481118
55,-293.258,233.397,-12.7488,2.45691,0.0116945,0.0482084
56,-293.392,233.514,-12.7115,2.45666,0.00848544,0.0449903
57,-293.535,233.644,-12.7204,2.45515,7.41404e-05,0.0424695
58,-293.67,233.749,-12.7546,2.45521,-0.00246499,0.0421455
59,-293.797,233.855,-12.7596,2.45743,-0.00116842,0.0437157
60,-293.925,233.965,-12.7535,2.45816,-0.00221736,0.0470248
61,-294.053,234.077,-12.7429,2.45768,-0.00443582,0.0484794
62,-294.188,234.205,-12.7681,2.45632,-0.00626818,0.0499016
63,-294.317,234.312,-12.773,2.45535,-0.00580073,0.0507488
64,-294.446,234.418,-12.7724,2.45602,-0.00536209,0.0520668
65,-294.572,234.541,-12.7816,2.45507,-0.0049776,0.0520452
66,-294.703,234.658,-12.7785,2.45433,-0.00333654,0.0497683
67,-294.821,234.769,-12.7833,2.4554,-0.00352401,0.0482092
68,-294.958,234.894,-12.7911,2.45588,-0.0036543,0.0481566
69,-295.091,235.018,-12.7913,2.45528,-0.00386926,0.0478777
70,-295.225,235.13,-12.7941,2.45545,-0.00413063,0.0485438
71,-295.357,235.25,-12.7951,2.4554,-0.00385335,0.0491583
72,-295.49,235.366,-12.7897,2.45493,-0.00438723,0.0491157
73,-295.624,235.483,-12.7898,2.45418,-0.00491161,0.0489175
74,-295.756,235.592,-12.79,2.45446,-0.00487369,0.0488494
75,-295.896,235.705,-12.7964,2.45528,-0.00527996,0.0494571
76,-296.019,235.815,-12.7989,2.45463,-0.00507003,0.0490395
77,-296.161,235.928,-12.7933,2.45395,-0.00436375,0.0475143
78,-296.303,236.05,-12.7847,2.45402,-0.00468073,0.0451484
79,-296.447,236.177,-12.7962,2.45533,-0.00504245,0.044713
80,-296.591,236.306,-12.8016,2.45538,-0.00316594,0.0444912
81,-296.741,236.429,-12.8033,2.45516,-0.0014914,0.0446071
82,-296.879,236.549,-12.7915,2.45547,-0.000780976,0.0459844
83,-297.012,236.672,-12.7867,2.45552,-0.00112506,0.0464281
84,-297.158,236.796,-12.785,2.45493,-0.00122942,0.0461238
85,-297.294,236.914,-12.7893,2.45472,-0.000504657,0.0456423
86,-297.436,237.036,-12.7962,2.4543,0.000835888,0.0454069
87,-297.575,237.158,-12.7907,2.45433,0.000830387,0.0448729
88,-297.731,237.293,-12.791,2.45504,-0.000888496,0.0451338
89,-297.865,237.405,-12.7978,2.45595,-0.00108526,0.0457492
90,-298.004,237.533,-12.7932,2.4558,-0.00124085,0.045469
91,-298.156,237.672,-12.8003,2.45575,-0.00213441,0.0445817
92,-298.297,237.801,-12.805,2.45634,-0.00232813,0.0441351
93,-298.439,237.917,-12.81,2.45695,-0.00250625,0.0435983
94,-298.587,238.047,-12.8142,2.45661,-0.00295303,0.0425674
95,-298.731,238.187,-12.8125,2.45611,-0.00386723,0.0412731
96,-298.879,238.314,-12.8056,2.45656,-0.00544517,0.0400811
97,-299.032,238.439,-12.8071,2.4572,-0.00709315,0.0389815
98,-299.182,238.578,-12.8108,2.45835,-0.00898594,0.0375039
99,-299.324,238.702,-12.8212,2.45933,-0.00903796,0.0367835
100,-299.474,238.823,-12.8334,2.45943,-0.00731936,0.0355982
101,-299.627,238.959,-12.8383,2.45984,-0.00606989,0.0349736
102,-299.77,239.08,-12.8473,2.46023,-0.00531824,0.0375798
103,-299.922,239.191,-12.8402,2.46024,-0.00486714,0.0400634
104,-300.076,239.325,-12.8287,2.46098,-0.00517464,0.0381763
105,-300.229,239.454,-12.8338,2.46164,-0.00557442,0.0359258
106,-300.384,239.594,-12.8426,2.46196,-0.00508924,0.0339974
107,-300.528,239.723,-12.8433,2.46252,-0.00408449,0.0328482
108,-300.683,239.844,-12.8485,2.46319,-0.00368064,0.0320388
109,-300.833,239.971,-12.8434,2.4642,-0.00374534,0.0309895
110,-300.984,240.103,-12.8468,2.46435,-0.00382605,0.0304187
111,-301.141,240.24,-12.8463,2.46456,-0.00414109,0.0298213
112,-301.294,240.367,-12.8481,2.4645,-0.00376537,0.0286068
113,-301.453,240.497,-12.8502,2.4647,-0.00243392,0.0266683
114,-301.615,240.62,-12.8473,2.46748,-0.002275,0.0236789
115,-301.777,240.767,-12.8472,2.46983,-0.00498918,0.0219197
116,-301.938,240.899,-12.8446,2.47194,-0.00587338,0.0195676
117,-302.114,241.022,-12.8554,2.47457,-0.00607423,0.0182341
118,-302.28,241.147,-12.8565,2.47647,-0.00577212,0.0193918
