id,x,y,z,yaw,pitch,roll
1,-285.364,226.537,-12.601,2.44815,0.0125867,0.0383697
2,-285.134,226.34,-12.601,2.44793,0.0130608,0.0410384
3,-284.896,226.125,-12.6009,2.44787,0.0145928,0.0423467
4,-285.581,226.744,-12.6071,2.44873,0.0120993,0.0338711
5,-285.793,226.941,-12.6121,2.44993,0.0110825,0.031574
6,-286.011,227.139,-12.618,2.45059,0.0109763,0.031579
7,-286.224,227.328,-12.614,2.44971,0.0103748,0.0320061
8,-286.438,227.51,-12.6133,2.45037,0.00956328,0.0327598
9,-286.646,227.689,-12.6177,2.45104,0.0079356,0.0340014
10,-286.855,227.876,-12.6142,2.45112,0.00699934,0.0333293
11,-287.055,228.046,-12.5978,2.45138,0.00282069,0.0335233
12,-287.25,228.213,-12.5985,2.45099,-0.00187264,0.0358548
13,-287.445,228.374,-12.6187,2.4508,-0.00387036,0.0381227
14,-287.632,228.533,-12.6297,2.45051,-0.00300005,0.0388203
15,-287.819,228.69,-12.6423,2.45095,-0.00162396,0.0397996
16,-287.994,228.844,-12.6343,2.45111,-0.00044242,0.0400448
17,-288.174,229.005,-12.6474,2.45151,-0.000548741,0.04077
18,-288.353,229.145,-12.6643,2.45202,0.00172344,0.0411707
19,-288.514,229.288,-12.6721,2.45274,0.00525732,0.0405322
20,-288.675,229.428,-12.6637,2.45311,0.00666306,0.0376187
21,-288.843,229.571,-12.656,2.45351,0.00636014,0.0351898
22,-289,229.709,-12.6625,2.45453,0.00586481,0.0347384
23,-289.144,229.832,-12.6711,2.45427,0.00676012,0.0368842
24,-289.284,229.986,-12.6782,2.45404,0.00994118,0.0378924
25,-289.472,230.089,-12.6937,2.45474,0.0123608,0.0414998
26,-289.596,230.247,-12.6816,2.45599,0.0141372,0.0422794
27,-289.738,230.369,-12.6779,2.45637,0.0143963,0.0440641
28,-289.917,230.472,-12.6867,2.45595,0.0135438,0.045233
29,-290.06,230.593,-12.6784,2.45683,0.0117789,0.0445794
30,-290.197,230.709,-12.6904,2.45839,0.00939459,0.044718
31,-290.331,230.825,-12.6784,2.45839,0.00847939,0.0432322
32,-290.461,230.948,-12.6618,2.45872,0.00568196,0.041187
33,-290.582,231.061,-12.6734,2.45742,0.0017816,0.0422857
34,-290.725,231.179,-12.6652,2.45719,-0.000716942,0.0422541
35,-290.841,231.298,-12.619,2.45705,-0.00669673,0.0402064
36,-290.967,231.43,-12.6273,2.45619,-0.0152744,0.0402785
37,-291.104,231.543,-12.6675,2.45671,-0.0154666,0.0404827
38,-291.227,231.636,-12.72,2.45651,-0.00916504,0.0412594
39,-291.344,231.739,-12.7284,2.45824,0.000271822,0.0405368
40,-291.466,231.833,-12.7167,2.45828,0.00537381,0.0415564
