id,x,y,z,yaw,pitch,roll
1,-284.885,226.882,-14.5604,2.45527,-0.0313363,-0.110765
2,-284.478,226.829,-14.0956,2.45514,-0.0194113,-0.173673
3,-284.834,227.184,-13.9652,2.45379,-0.00140942,-0.187299
4,-285.01,227.363,-13.9443,2.45236,0.015961,-0.191307
5,-285.206,227.526,-13.9552,2.45266,0.0212276,-0.190084
6,-285.42,227.723,-13.9493,2.45259,0.025429,-0.190821
7,-285.615,227.898,-13.9419,2.45164,0.0276801,-0.192125
8,-285.831,228.081,-13.9454,2.45203,0.0275641,-0.19278
9,-286.019,228.241,-13.9601,2.45277,0.0280218,-0.190999
10,-286.23,228.431,-13.9823,2.45287,0.0266013,-0.190197
11,-286.442,228.639,-13.972,2.45329,0.0209306,-0.191703
12,-286.627,228.782,-13.9797,2.45437,0.0161096,-0.190009
13,-286.832,228.963,-13.9927,2.4544,0.0133668,-0.188977
14,-287.023,229.123,-13.9949,2.45406,0.0111456,-0.188102
15,-287.216,229.279,-13.9996,2.45491,0.0104624,-0.186936
16,-287.393,229.444,-14.0067,2.45473,0.0103504,-0.188897
17,-287.536,229.555,-13.9962,2.45554,0.0100311,-0.186594
18,-287.754,229.703,-14.0288,2.45545,0.0123505,-0.182036
19,-287.912,229.83,-14.038,2.45643,0.0135737,-0.181553
20,-288.095,229.997,-14.0325,2.45687,0.0143068,-0.184108
21,-288.284,230.126,-14.0341,2.4567,0.0140082,-0.182185
22,-288.431,230.256,-14.0481,2.45818,0.0141424,-0.182504
23,-288.602,230.402,-14.0515,2.45731,0.0144394,-0.181031
24,-288.646,230.592,-14.1056,2.45662,0.0171925,-0.189186
25,-288.926,230.658,-14.0572,2.45629,0.0196199,-0.176382
26,-288.947,230.854,-14.1348,2.45771,0.0243613,-0.186784
27,-289.071,230.954,-14.1325,2.45786,0.0271328,-0.184249
28,-289.322,231.002,-14.0773,2.45572,0.0296155,-0.17501
29,-289.482,231.11,-14.0615,2.45593,0.0294742,-0.172026
30,-289.6,231.235,-14.0675,2.45672,0.0298753,-0.173194
31,-289.742,231.347,-14.057,2.45725,0.0279469,-0.173829
32,-289.852,231.429,-14.0478,2.45849,0.0257729,-0.173658
33,-289.998,231.573,-14.0417,2.45809,0.0222528,-0.172676
34,-290.166,231.679,-14.0195,2.45773,0.0170594,-0.167167
35,-290.325,231.809,-13.9582,2.45926,0.00609685,-0.16474
36,-290.337,232.025,-14.1134,2.46065,-0.00157838,-0.182803
37,-290.455,232.128,-14.1294,2.46085,-0.00358364,-0.182082
38,-290.712,232.165,-14.0202,2.46024,-0.00428549,-0.166124
39,-290.72,232.345,-14.1799,2.46209,0.00188541,-0.181044
40,-290.902,232.39,-14.1,2.46157,0.00445143,-0.175042
41,-291.074,232.468,-14.0133,2.45983,0.00379158,-0.165553
42,-291.202,232.579,-13.9978,2.45923,0.00192596,-0.161819
43,-291.439,232.614,-13.8671,2.45744,-0.00172629,-0.133084
44,-291.907,232.299,-12.7744,2.45401,0.00449763,0.0357558
45,-292.066,232.372,-12.7426,2.45445,0.00433788,0.0542801
46,-292.188,232.475,-12.7422,2.45514,0.00675186,0.0504226
47,-292.295,232.574,-12.7358,2.45589,0.0074782,0.046202
48,-292.413,232.678,-12.7372,2.45643,0.00571545,0.0458836
49,-292.529,232.786,-12.7482,2.45491,0.00409341,0.0477125
50,-292.655,232.876,-12.7659,2.45454,0.00480944,0.0491143
51,-292.763,232.977,-12.7591,2.45506,0.00581369,0.0507627
52,-292.882,233.083,-12.759,2.45431,0.0058179,0.0510821
53,-293.003,233.189,-12.7617,2.45363,0.00679689,0.0490267
54,-293.132,233.298,-12.7741,2.45515,0.0100002,0.0485833
55,-293.238,233.396,-12.7592,2.45599,0.0113299,0.0487387
56,-293.377,233.529,-12.7226,2.45557,0.00804629,0.0453783
57,-293.513,233.649,-12.7349,2.45432,-6.17663e-05,0.0430442
58,-293.651,233.762,-12.7645,2.45467,-0.00255766,0.0422995
59,-293.779,233.872,-12.7671,2.4569,-0.0015067,0.0435859
60,-293.905,233.985,-12.7573,2.45755,-0.00262492,0.0470335
61,-294.037,234.093,-12.7493,2.45733,-0.00475175,0.0483786
62,-294.174,234.211,-12.7751,2.45583,-0.00657165,0.0504391
63,-294.299,234.326,-12.7789,2.4549,-0.00601286,0.0510998
64,-294.433,234.437,-12.7755,2.45553,-0.00562898,0.0521335
65,-294.555,234.561,-12.7844,2.45448,-0.00517297,0.0520776
66,-294.686,234.672,-12.7802,2.45372,-0.00359634,0.0492864
67,-294.816,234.786,-12.784,2.45485,-0.00368945,0.047936
68,-294.95,234.904,-12.7874,2.45528,-0.00379591,0.0478418
69,-295.089,235.027,-12.7882,2.45474,-0.00404911,0.0474858
