id,x,y,z,yaw,pitch,roll
1,-284.641,227.023,-14.0199,2.45377,-0.011143,-0.18339
2,-284.342,226.773,-13.9352,2.45301,0.00479035,-0.189257
3,-284.788,227.153,-13.9351,2.45195,0.0163615,-0.18823
4,-284.993,227.347,-13.9576,2.45154,0.0210409,-0.189616
5,-285.199,227.521,-13.9484,2.45231,0.0229753,-0.190421
6,-285.403,227.702,-13.9487,2.4529,0.0251294,-0.190921
7,-285.579,227.867,-13.9462,2.45196,0.0271105,-0.191881
8,-285.837,228.087,-13.9459,2.45197,0.0272403,-0.192705
9,-285.997,228.222,-13.9557,2.45297,0.0278205,-0.191097
10,-286.23,228.432,-13.9817,2.45289,0.0265824,-0.190266
11,-286.442,228.639,-13.972,2.45328,0.0209345,-0.191703
12,-286.627,228.782,-13.9797,2.45437,0.0161096,-0.190017
13,-286.831,228.963,-13.9927,2.4544,0.0133637,-0.188976
14,-287.021,229.121,-13.9943,2.45411,0.0111803,-0.188248
15,-287.215,229.278,-13.9996,2.45489,0.0105481,-0.186919
16,-287.391,229.442,-14.0062,2.45475,0.0103533,-0.188931
17,-287.541,229.559,-13.9968,2.45552,0.0100195,-0.186561
18,-287.718,229.676,-14.0241,2.45614,0.0119946,-0.182983
19,-287.922,229.837,-14.0395,2.45643,0.0135333,-0.181398
20,-288.102,230.001,-14.033,2.45679,0.0143375,-0.184092
21,-288.284,230.126,-14.0341,2.45669,0.0139975,-0.18216
22,-288.431,230.256,-14.0478,2.45816,0.0141127,-0.182478
23,-288.607,230.405,-14.053,2.45714,0.0146234,-0.180761
24,-288.646,230.593,-14.1059,2.45658,0.0172987,-0.189109
25,-288.926,230.658,-14.0577,2.45623,0.0197769,-0.176353
26,-288.942,230.85,-14.1339,2.45785,0.0237356,-0.186739
27,-289.078,230.959,-14.1352,2.45762,0.0277688,-0.183995
28,-289.314,231.001,-14.0847,2.45613,0.0293409,-0.175831
29,-289.464,231.106,-14.0673,2.45622,0.0292773,-0.173644
30,-289.601,231.242,-14.0752,2.45683,0.0293152,-0.1736
31,-289.747,231.35,-14.0561,2.45729,0.0272758,-0.173299
32,-289.903,231.464,-14.0385,2.45833,0.0223928,-0.171305
33,-290.028,231.583,-14.031,2.4582,0.0183815,-0.169016
34,-290.161,231.678,-14.0231,2.45797,0.0163573,-0.167504
35,-290.25,231.763,-13.9963,2.45871,0.0133804,-0.167841
36,-290.308,232,-14.1137,2.45932,0.00721306,-0.183131
37,-290.46,232.125,-14.1319,2.46025,-0.000548424,-0.181293
38,-290.711,232.165,-14.0185,2.46007,-0.00340714,-0.166038
39,-290.719,232.344,-14.1799,2.46203,0.00208189,-0.181063
40,-290.951,232.37,-14.0531,2.46017,0.00822514,-0.168722
41,-291.062,232.445,-14.0158,2.45968,0.00733445,-0.163549
42,-291.177,232.554,-14.0164,2.459,0.00519226,-0.161045
43,-291.268,232.63,-14.0105,2.4584,0.00480508,-0.159939
44,-291.561,232.711,-13.8364,2.45637,0.00200894,-0.131428
45,-292.053,232.387,-12.7438,2.45448,0.00564066,0.0467658
46,-292.187,232.476,-12.7415,2.45513,0.00679616,0.0502566
47,-292.295,232.574,-12.7357,2.45589,0.00747679,0.0461995
48,-292.414,232.678,-12.7374,2.45644,0.00568892,0.0458876
49,-292.529,232.786,-12.7483,2.45491,0.00409067,0.0477171
50,-292.655,232.876,-12.766,2.45454,0.00480883,0.0491174
51,-292.763,232.977,-12.7592,2.45505,0.00581883,0.0507642
52,-292.882,233.083,-12.7589,2.45431,0.00581826,0.0510823
53,-293.003,233.188,-12.7619,2.45362,0.00679399,0.0490558
54,-293.132,233.299,-12.774,2.45515,0.0100046,0.0485823
55,-293.247,233.403,-12.758,2.45607,0.0114057,0.0486904
56,-293.377,233.529,-12.7225,2.45557,0.00804483,0.0453721
57,-293.512,233.647,-12.7339,2.4543,1.02034e-05,0.0430453
58,-293.651,233.762,-12.7645,2.45467,-0.00255771,0.0423018
59,-293.779,233.872,-12.7671,2.4569,-0.00150608,0.0435875
60,-293.901,233.981,-12.7566,2.45753,-0.00253568,0.0469742
61,-294.037,234.093,-12.7492,2.45734,-0.00476654,0.0483875
62,-294.174,234.212,-12.775,2.45582,-0.00656452,0.0504357
63,-294.299,234.326,-12.7789,2.4549,-0.00601298,0.0511071
64,-294.433,234.437,-12.7756,2.45553,-0.00562729,0.0521416
65,-294.555,234.561,-12.7843,2.45448,-0.00516831,0.0520747
66,-294.685,234.671,-12.7804,2.45373,-0.00361541,0.0493348
67,-294.816,234.786,-12.784,2.45485,-0.0036924,0.04794
68,-294.951,234.905,-12.7874,2.45529,-0.0038155,0.0478332
69,-295.089,235.027,-12.7882,2.45473,-0.00405146,0.0474862
70,-295.222,235.143,-12.7908,2.45505,-0.0042969,0.0477403
71,-295.352,235.258,-12.7932,2.45505,-0.00398049,0.0485311
72,-295.484,235.38,-12.7924,2.45437,-0.00439882,0.0485089
73,-295.614,235.495,-12.796,2.45362,-0.00495325,0.0486493
74,-295.75,235.613,-12.7979,2.4535,-0.00513814,0.0489726
