id,x,y,z,yaw,pitch,roll
1,-285.128,226.336,-12.6027,2.44796,0.013395,0.0445001
2,-284.899,226.133,-12.5969,2.44764,0.014995,0.0458787
3,-285.361,226.532,-12.5984,2.44781,0.0130625,0.0401828
4,-285.579,226.73,-12.6058,2.4484,0.0125984,0.0372264
5,-285.796,226.937,-12.6104,2.44967,0.0115568,0.034161
6,-286.011,227.141,-12.6146,2.45072,0.0114052,0.0337902
7,-286.222,227.324,-12.612,2.44984,0.01086,0.0342395
8,-286.439,227.508,-12.6128,2.45049,0.0100092,0.0353841
9,-286.649,227.688,-12.6118,2.45121,0.00842949,0.0359152
10,-286.854,227.874,-12.6125,2.45143,0.00732346,0.0345208
11,-287.054,228.042,-12.5981,2.45148,0.00308365,0.0346966
12,-287.248,228.206,-12.5998,2.45119,-0.00151123,0.0371425
13,-287.439,228.363,-12.6192,2.4509,-0.00361307,0.0393172
14,-287.622,228.516,-12.6281,2.45071,-0.00262755,0.0401944
15,-287.805,228.672,-12.6399,2.45105,-0.00112866,0.0410101
16,-287.982,228.825,-12.6333,2.45126,-0.000147777,0.0416466
17,-288.17,228.988,-12.6447,2.45176,-0.000176213,0.0419743
18,-288.335,229.127,-12.6606,2.45243,0.00200811,0.0416919
19,-288.513,229.282,-12.671,2.45282,0.00547564,0.0412683
20,-288.67,229.422,-12.6625,2.45321,0.00673155,0.0382189
21,-288.831,229.554,-12.6534,2.45369,0.00645484,0.0356379
22,-288.99,229.693,-12.6596,2.45451,0.00593188,0.0352984
23,-289.135,229.818,-12.6666,2.45446,0.00680149,0.03734
24,-289.275,229.986,-12.6615,2.45404,0.0100676,0.0377695
25,-289.46,230.083,-12.6873,2.45478,0.0124105,0.0410689
26,-289.585,230.243,-12.6736,2.45601,0.0142413,0.0424047
27,-289.727,230.362,-12.67,2.45656,0.014634,0.0439295
28,-289.924,230.471,-12.6881,2.45618,0.0136649,0.0460345
29,-290.073,230.59,-12.6856,2.45745,0.0116516,0.0454382
30,-290.221,230.703,-12.7024,2.45966,0.00909591,0.0460692
31,-290.378,230.812,-12.7006,2.46032,0.00783397,0.0450633
32,-290.528,230.917,-12.6874,2.46142,0.00471562,0.0434783
33,-290.647,231.034,-12.6876,2.46007,0.000988004,0.0438331
34,-290.77,231.172,-12.6617,2.45881,-0.000789114,0.041987
35,-290.874,231.298,-12.5966,2.45854,-0.00689477,0.0380897
36,-290.981,231.439,-12.5889,2.4571,-0.0149873,0.0372843
37,-291.115,231.547,-12.6218,2.45774,-0.0151572,0.0371883
38,-291.254,231.642,-12.6887,2.45754,-0.00906366,0.0380998
39,-291.361,231.74,-12.7181,2.45895,0.000190854,0.0385815
40,-291.489,231.831,-12.6963,2.45913,0.00561045,0.0396562
41,-291.619,231.936,-12.6847,2.45908,0.00273068,0.0420315
42,-291.757,232.054,-12.7072,2.45878,-0.000924591,0.046353
43,-291.888,232.139,-12.7226,2.45808,-0.00094675,0.0519874
44,-292.01,232.232,-12.7178,2.4577,0.00115058,0.0544647
45,-292.138,232.332,-12.7081,2.45853,0.00367519,0.0531415
46,-292.248,232.431,-12.7061,2.45973,0.0064479,0.0480839
47,-292.352,232.515,-12.7012,2.46062,0.00730944,0.0438156
