"id","x","y","z","yaw","pitch","roll"
1,1772.97,866.576,0,0.027252,0.00393683,-0.0187955
2,1772.64,866.569,0,0.0274111,0.00630694,-0.0248629
3,1772.28,866.532,0,0.0272959,0.00965601,-0.0292287
4,1771.88,866.566,0,0.026889,0.0110175,-0.0299057
5,1771.74,866.58,0,0.0269405,0.0118775,-0.0313408
6,1771.74,866.601,0,0.0258906,0.0130066,-0.0290114
7,1771.75,866.608,0,0.0246506,0.0120815,-0.0297203
8,1773.07,866.573,0,0.0278873,-0.000554124,-0.0180408
9,1774.07,866.612,0,0.0261329,0.00161453,-0.0259752
10,1774.55,866.623,0,0.0256409,0.00135061,-0.0265245
11,1774.78,866.596,0,0.0244198,-0.00168289,-0.0291561
12,1775.29,866.584,0,0.0232166,-0.00142735,-0.0318873
13,1775.78,866.587,0,0.0241416,0.00169647,-0.0342819
14,1777.7,866.791,0,0.0239594,0.00244698,-0.0286466
15,1777.88,866.775,0,0.0227502,0.00665823,-0.0295331
16,1778.27,866.781,0,0.0226954,0.00821353,-0.0288682
17,1778.73,866.771,0,0.0232869,0.00799015,-0.0282445
18,1779.01,866.791,0,0.024209,0.0090544,-0.0240187
19,1779.44,866.809,0,0.0245824,0.00748281,-0.0223852
20,1779.83,866.855,0,0.0237933,0.00120899,-0.0245369
21,1779.94,866.836,0,0.0237341,0.00168723,-0.0254254
22,1780.64,866.842,0,0.0235724,0.00037665,-0.0258333
23,1780.8,866.839,0,0.0234442,0.000856807,-0.0249668
24,1781.34,866.828,0,0.0235122,-0.00377401,-0.0273474
25,1781.43,866.805,0,0.0227497,-0.00147605,-0.0295237
26,1780.89,866.744,0,0.0261136,0.00397826,-0.0253083
27,1781.4,866.794,0,0.0260529,0.00150669,-0.021962
28,1781.93,866.808,0,0.0253989,0.00185618,-0.0243882
29,1782.34,866.779,0,0.0259179,0.00311899,-0.0272572
30,1782.78,866.816,0,0.0263597,0.00331361,-0.0261024
31,1783.16,866.843,0,0.026771,0.00301245,-0.0234144
32,1783.58,866.861,0,0.026448,0.000454851,-0.0214131
33,1783.93,866.841,0,0.0273664,0.000764405,-0.0154662
34,1784.49,866.832,0,0.0279653,0.000862414,-0.0214891
35,1785.04,866.834,0,0.0288257,0.000366319,-0.027626
36,1786.61,866.904,0,0.0256809,0.00166617,-0.0264351
37,1787.11,866.935,0,0.0264087,0.00271236,-0.0275477
38,1787.37,866.946,0,0.0260018,0.00251153,-0.0277769
39,1787.81,866.942,0,0.0262662,0.00286443,-0.0270805
40,1788.22,866.946,0,0.0270806,0.000972701,-0.0255907
41,1788.71,866.899,0,0.027267,0.00333413,-0.0353009
42,1789.19,866.913,0,0.0279721,0.00333097,-0.0357891
43,1789.6,866.942,0,0.0271402,0.00403922,-0.0357308
44,1790.03,866.926,0,0.0283828,0.00365839,-0.0356275
45,1790.4,866.943,0,0.0289184,0.00345738,-0.0347835
46,1790.98,866.952,0,0.0287905,0.00165433,-0.036503
47,1792,866.928,0,0.0297945,-0.0011468,-0.0372124
48,1792.01,866.998,0,0.0305009,-0.000837311,-0.0371568
49,1793.24,866.907,0,0.03035,-0.00349389,-0.0473449
50,1793.39,866.943,0,0.03059,-0.00296631,-0.0476737
51,1793.38,866.968,0,0.031204,-0.00344728,-0.0471065
52,1794.15,866.907,0,0.0311962,-0.00635265,-0.0459455
53,1794.45,866.917,0,0.032111,-0.00329423,-0.0451941
54,1795.14,866.918,0,0.0323652,-0.00386473,-0.0447626
55,1795.19,866.95,0,0.0328391,-0.00351062,-0.0419292
56,1795.6,866.953,0,0.0325995,-0.00366718,-0.0406651
57,1795.81,866.976,0,0.0327407,-0.00292152,-0.0382364
58,1795.96,866.976,0,0.0331405,-0.0016969,-0.0391958
59,1797.06,866.876,0,0.0338194,-0.00643127,-0.0432611
60,1797.96,866.843,0,0.0346263,-0.00594782,-0.0463038
61,1798.44,866.835,0,0.0346393,-0.00461045,-0.0415311
62,1798.92,866.851,0,0.0353622,-0.00360348,-0.0382542
63,1799.11,866.892,0,0.0369505,-0.00434917,-0.0376685
64,1799.64,866.904,0,0.0358123,-0.00823307,-0.0388264
65,1799.84,866.914,0,0.0374163,-0.0086805,-0.0372324
66,1800.45,866.885,0,0.0361011,-0.00590554,-0.0368935
67,1800.89,866.876,0,0.0352328,-0.00907434,-0.0389601
68,1801.14,866.912,0,0.0372797,-0.00739007,-0.0383115
69,1801.36,866.933,0,0.0383241,-0.00771901,-0.0386129
70,1801.25,866.98,0,0.0369293,-0.00673397,-0.0398395
71,1801.72,866.983,0,0.0372684,-0.00601317,-0.0405294
72,1802,866.964,0,0.0374069,-0.00512171,-0.0415046
73,1802.45,866.99,0,0.0383193,-0.00564785,-0.0421414
74,1802.81,866.977,0,0.0394292,-0.00291721,-0.0390836
75,1803.23,866.952,0,0.0395177,-0.00418011,-0.0376938
76,1803.84,866.922,0,0.0395806,-0.00560898,-0.0367646
77,1804.24,866.889,0,0.0393001,-0.00525737,-0.0368887
78,1804.69,866.978,0,0.0403337,-0.00436355,-0.0356463
79,1805.02,867.027,0,0.040568,-0.0053508,-0.0333041
80,1805.34,867.035,0,0.0386235,-0.00452733,-0.032214
81,1805.81,866.947,0,0.0393203,-0.00569225,-0.0342469
82,1806.23,866.977,0,0.0393532,-0.00524093,-0.033492
83,1806.64,866.978,0,0.0398551,-0.00465209,-0.0367988
84,1807,866.998,0,0.0395968,-0.00408521,-0.0360344
85,1807.42,867.079,0,0.0402176,-0.00317989,-0.0325267
86,1808,866.93,0,0.041157,-0.0054059,-0.038626
87,1808.43,866.916,0,0.0418167,-0.00484914,-0.0386548
88,1808.88,866.977,0,0.0438166,-0.0041112,-0.0394757
89,1809.28,867.037,0,0.0431144,-0.00573346,-0.0380527
90,1809.65,867.157,0,0.0441482,-0.00652356,-0.0359246
91,1809.94,867.146,0,0.0427381,-0.00161773,-0.0361192
92,1810.18,867.191,0,0.0453111,-0.00171277,-0.036858
93,1810.63,867.101,0,0.0445858,-0.00454782,-0.0401572
94,1810.89,867.117,0,0.047285,-0.00304568,-0.0407371
95,1811.06,867.024,0,0.0459659,-0.00663444,-0.0501393
96,1809.88,867.038,0,0.0456278,0.00263463,-0.0403878
97,1809.56,867.077,0,0.0464497,0.00204497,-0.0346933
98,1809.67,867.136,0,0.046074,0.00200445,-0.0312888
99,1809.8,867.12,0,0.0482241,0.0024364,-0.033282
100,1809.94,867.121,0,0.0477274,0.0033899,-0.0328914
101,1810.42,867.154,0,0.0489731,0.00542651,-0.0325861
102,1811,867.161,0,0.0501273,0.0059956,-0.0363429
103,1812.16,867.154,0,0.0488879,0.00300631,-0.0384214
104,1812.49,867.177,0,0.0490062,0.00361235,-0.0403314
105,1812.84,867.197,0,0.0504105,0.00323968,-0.0420077
106,1816.21,867.326,0,0.0487606,0.00374101,-0.0428228
107,1818.47,867.544,0,0.0489189,0.00442571,-0.0471694
108,1818.92,867.563,0,0.047132,0.000900578,-0.0444993
109,1819.33,867.504,0,0.0475271,0.000980364,-0.0430761
110,1819.78,867.498,0,0.0476214,-0.00135708,-0.042106
111,1820.55,867.537,0,0.0453427,-0.00269619,-0.0398282
112,1820.84,867.496,0,0.046075,-0.0036243,-0.0420149
113,1821.35,867.568,0,0.0444113,-0.0029339,-0.0466583
114,1821.75,867.556,0,0.0433603,-0.00223688,-0.0473844
115,1822.07,867.61,0,0.0438053,-0.00346741,-0.0467061
116,1822.67,867.586,0,0.0415693,-0.00246491,-0.0453319
117,1822.79,867.618,0,0.0407046,-0.00165359,-0.0423488
118,1822.66,867.54,0,0.044936,-7.01E-05,-0.0446096
119,1822.7,867.529,0,0.0420358,0.00241231,-0.0386395
120,1822.81,867.557,0,0.0377463,0.00327247,-0.0356728
121,1822.89,867.675,0,0.0333647,0.000339557,-0.0282222
122,1823.93,867.6,0,0.0374846,0.00262998,-0.0339318
123,1824.74,867.559,0,0.03949,0.00632601,-0.03225
124,1824.81,867.57,0,0.0351374,0.00808579,-0.0251228
125,1825.52,867.579,0,0.0376804,0.00920927,-0.0274208
126,1825.73,867.59,0,0.033607,0.0107934,-0.0255216
127,1826.47,867.555,0,0.0356532,0.0134932,-0.0314601
128,1826.78,867.533,0,0.0338892,0.0165189,-0.031891
129,1826.84,867.602,0,0.0308016,0.0181518,-0.0253071
130,1827.24,867.621,0,0.0287853,0.0184489,-0.0246594
131,1827.6,867.624,0,0.0278835,0.0192026,-0.0252805
132,1827.88,867.633,0,0.026293,0.0168559,-0.0234229
133,1828.43,867.646,0,0.0246289,0.00937412,-0.0238992
134,1828.79,867.672,0,0.0211975,0.00367148,-0.0201047
135,1828.78,867.672,0,0.0214076,0.00404891,-0.0213269
136,1829.13,867.648,0,0.0214851,0.000410968,-0.0212125
137,1829.42,867.655,0,0.0222201,-0.00163292,-0.0199814
138,1830.44,867.588,0,0.0190783,-6.92E-05,-0.0211547
139,1830.83,867.601,0,0.0178014,-0.00215573,-0.0200159
140,1831.04,867.652,0,0.0208272,-0.00343607,-0.0158496
141,1831.76,867.562,0,0.0193052,-0.00404034,-0.0153818
142,1831.88,867.631,0,0.0177082,-0.00357559,-0.0110171
143,1832.26,867.667,0,0.0178247,-0.00151672,-0.0125791
144,1832.8,867.603,0,0.0166777,0.000436662,-0.0155453
145,1833.19,867.643,0,0.0172511,0.00188758,-0.0157323
146,1833.62,867.674,0,0.0178679,0.00478596,-0.0156902
147,1833.9,867.724,0,0.0143672,0.0120818,-0.0105905
148,1834.39,867.708,0,0.0159967,0.0193762,-0.0113489
149,1834.66,867.726,0,0.0142507,0.020496,0.000233257
150,1835.2,867.639,0,0.0121394,0.0192249,-0.00670017
151,1835.56,867.659,0,0.00887681,0.0147576,-0.00986169
152,1836.04,867.657,0,0.00614878,0.00222479,-0.0118408
153,1836.47,867.705,0,0.0108949,-0.00701062,-0.0198947
154,1836.8,867.714,0,0.0130314,-0.0133868,-0.0237456
155,1837.32,867.715,0,0.0134879,-0.0186464,-0.0260587
156,1837.7,867.73,0,0.0150714,-0.0211051,-0.0254576
157,1838.03,867.727,0,0.0120982,-0.0164514,-0.0258907
158,1838.38,867.738,0,0.0120303,-0.00882409,-0.0243955
159,1838.65,867.753,0,0.0108063,-0.0050831,-0.0243381
160,1838.94,867.747,0,0.0106136,-0.00447638,-0.0283662
161,1839.16,867.785,0,0.00760524,-0.00137115,-0.0263598
162,1839.79,867.74,0,0.00982594,-0.00253741,-0.0263701
163,1840.21,867.726,0,0.00886209,-0.00561574,-0.0262101
164,1840.74,867.779,0,0.00967962,-0.00433375,-0.0307559
165,1841.09,867.822,0,0.0100119,-0.00375826,-0.03123
166,1841.58,867.8,0,0.0118753,-0.00642608,-0.0361978
167,1842.14,867.81,0,0.0138457,-0.00851083,-0.0377123
168,1842.63,867.798,0,0.0162395,-0.0112515,-0.0375929
169,1843.21,867.763,0,0.0143543,-0.0114304,-0.036432
170,1843.61,867.78,0,0.0141168,-0.0125468,-0.0351622
171,1843.93,867.819,0,0.0149067,-0.0136793,-0.0351893
172,1844.45,867.786,0,0.0144147,-0.0138653,-0.0358638
173,1844.93,867.757,0,0.0136809,-0.0134866,-0.033569
174,1845.26,867.757,0,0.0147159,-0.012033,-0.0290388
