id,x,y,z,yaw,pitch,roll
1,1774.91,866.473,0,0.024946,-0.00136404,-0.0353879
2,1775.27,866.5,0,0.0221351,-0.00127285,-0.0326585
3,1775.14,866.504,0,0.0223018,-0.00222093,-0.0368477
4,1774.44,866.47,0,0.0235753,0.000375995,-0.0349309
5,1774.36,866.494,0,0.0226744,0.00135484,-0.0339066
6,1773.96,866.491,0,0.0222662,0.00139412,-0.0340212
7,1773.56,866.48,0,0.0217849,0.000316838,-0.0304919
8,1773.12,866.461,0,0.0211599,0.00261098,-0.0325839
9,1772.74,866.462,0,0.0194071,0.00175695,-0.0279625
10,1775.66,866.547,0,0.0226809,0.00214229,-0.0245612
11,1776.07,866.587,0,0.0225525,-4.19073e-05,-0.023421
12,1776.48,866.552,0,0.022463,-0.00887529,-0.0286289
13,1776.51,866.517,0,0.0224266,-0.00813927,-0.0318447
14,1777.28,866.533,0,0.0235818,-0.00632483,-0.0307295
15,1777.68,866.562,0,0.0232737,-0.00653336,-0.0344799
16,1778.09,866.576,0,0.0225922,-0.00668407,-0.0311677
17,1778.51,866.58,0,0.0226484,-0.00775044,-0.0292856
18,1778.89,866.581,0,0.0236398,-0.00558703,-0.0298919
19,1779.6,866.594,0,0.0230089,-0.00160399,-0.0300818
20,1780.05,866.603,0,0.0233854,-0.00382921,-0.0296402
21,1780.08,866.617,0,0.0231517,-0.00454692,-0.0309183
22,1780.8,866.626,0,0.0228742,-0.00288708,-0.0304503
23,1780.88,866.651,0,0.0229849,-0.00314576,-0.0289001
24,1781.29,866.668,0,0.023046,-0.00138884,-0.0275285
25,1782,866.68,0,0.0224473,-0.000495153,-0.0273865
26,1782.37,866.684,0,0.02268,0.000279675,-0.0294491
27,1782.49,866.674,0,0.0230836,-0.000741598,-0.0284759
28,1783.17,866.697,0,0.0221911,6.84242e-06,-0.0282998
29,1783.23,866.695,0,0.0227402,-0.00126746,-0.0280266
30,1783.56,866.741,0,0.0226433,0.00355757,-0.0222938
31,1784.02,866.726,0,0.0229345,0.00059967,-0.0221386
32,1784.42,866.744,0,0.0227891,0.000867946,-0.0214663
33,1784.78,866.723,0,0.0220021,-0.000213848,-0.0224485
34,1785.54,866.73,0,0.0238833,0.00535271,-0.0274089
35,1785.68,866.735,0,0.0236459,0.00357037,-0.0258885
36,1786.07,866.744,0,0.0247756,0.00322461,-0.0266908
37,1786.88,866.75,0,0.0258381,0.00544369,-0.0288815
38,1787.39,866.742,0,0.026781,0.00517081,-0.0340427
39,1787.71,866.758,0,0.0264467,0.00638065,-0.0343032
40,1788.08,866.744,0,0.027195,0.011167,-0.0401736
41,1788.51,866.757,0,0.0277579,0.00615678,-0.0323821
42,1788.99,866.758,0,0.0285058,0.00675525,-0.035875
43,1789.38,866.766,0,0.0286086,0.00733424,-0.0344599
44,1789.73,866.79,0,0.0287006,0.00853855,-0.0394936
45,1790.1,866.792,0,0.0289634,0.00467941,-0.0362632
46,1790.5,866.795,0,0.0301347,0.0027117,-0.0354727
47,1790.94,866.783,0,0.0302043,0.00246619,-0.0369792
48,1791.38,866.813,0,0.0306738,0.00128446,-0.0371216
49,1791.76,866.855,0,0.0319261,0.000492845,-0.0368231
50,1792.19,866.851,0,0.0309469,-0.000536443,-0.0364495
51,1792.64,866.838,0,0.0314871,-0.000745894,-0.0398492
52,1792.59,866.827,0,0.03219,-0.00196208,-0.0389265
53,1793.39,866.827,0,0.0318291,-0.00451487,-0.0348957
54,1793.78,866.853,0,0.0321245,-0.00285874,-0.0348985
55,1794.21,866.868,0,0.032101,-0.00393576,-0.0322046
56,1794.19,866.846,0,0.0331476,-0.00375275,-0.0349348
57,1794.59,866.85,0,0.0335611,-0.0042371,-0.0334866
58,1795.03,866.868,0,0.0339931,-0.00345977,-0.0343737
59,1795.87,866.844,0,0.0342922,-0.00141214,-0.0373302
60,1795.87,866.863,0,0.0349499,-0.00211924,-0.0367743
61,1796.17,866.856,0,0.0346038,-0.00471006,-0.0353492
62,1796.2,866.9,0,0.0354206,-0.00626697,-0.0310483
63,1796.55,866.905,0,0.0365692,-0.00847291,-0.0306055
64,1796.58,866.898,0,0.0362257,-0.00786982,-0.0321497
65,1798.56,866.915,0,0.0357741,-0.00437037,-0.0382673
66,1799.74,866.921,0,0.0372541,-0.00633474,-0.0363426
67,1799.88,866.917,0,0.0394102,-0.00500905,-0.0353939
68,1799.88,866.926,0,0.037775,-0.00511568,-0.0381873
69,1799.89,866.909,0,0.03979,-0.0035374,-0.039057
70,1799.92,866.943,0,0.0393461,-0.00512357,-0.0386178
71,1801.09,866.954,0,0.0377322,-0.00493105,-0.0364172
72,1801.49,866.956,0,0.0397421,-0.00413132,-0.0383117
73,1801.78,866.974,0,0.0386954,-0.00157394,-0.0377793
74,1802.25,866.966,0,0.040282,-0.00172253,-0.03876
75,1802.36,866.988,0,0.0403001,-0.000731297,-0.0379638
76,1802.61,867.001,0,0.0409995,-0.000956452,-0.0362137
77,1802.98,867.001,0,0.0414013,-0.00259005,-0.0330503
78,1803.52,867.038,0,0.0420447,-0.00147668,-0.0317151
79,1803.95,867.01,0,0.0413727,6.48023e-05,-0.0348324
80,1804.34,867.073,0,0.0419965,-0.00357088,-0.0309023
81,1804.39,867.063,0,0.0418792,-0.00247813,-0.0321176
82,1804.77,867.066,0,0.0427008,-0.00315611,-0.0333346
83,1805.55,867.033,0,0.0419246,-0.00223759,-0.035227
84,1805.9,867.057,0,0.0422194,-0.00223109,-0.0352441
85,1805.92,867.051,0,0.0432986,-0.0022753,-0.0363188
86,1806.74,867.072,0,0.0427773,-0.00320643,-0.0348956
87,1807.18,867.089,0,0.0437198,-0.00226786,-0.0358634
88,1807.61,867.076,0,0.0434774,-0.00270807,-0.0363603
89,1808.75,867.103,0,0.0440472,-0.00294701,-0.036275
90,1809.45,867.135,0,0.0435323,-9.68893e-05,-0.0398398
91,1809.86,867.199,0,0.0442456,-0.00542645,-0.0354362
92,1809.95,867.182,0,0.0449724,-0.000535931,-0.037381
93,1810.31,867.218,0,0.0448437,-0.000354936,-0.0364504
94,1810.32,867.213,0,0.0453566,-0.000635634,-0.0363278
95,1811.44,867.201,0,0.0459974,-0.000542916,-0.0416031
96,1812.03,867.234,0,0.0480383,-0.00252873,-0.0438035
97,1812.41,867.222,0,0.0475678,5.97961e-06,-0.0430344
98,1812.77,867.255,0,0.0472091,-0.000498371,-0.0408069
99,1813.64,867.252,0,0.0494215,0.00226309,-0.0396539
100,1813.84,867.267,0,0.0475298,0.00425967,-0.0368664
101,1814.79,867.293,0,0.0505123,0.00666529,-0.0380804
102,1814.82,867.308,0,0.0495233,0.00739783,-0.0386289
103,1815.24,867.315,0,0.0503012,0.00611166,-0.0387854
104,1816.26,867.346,0,0.0487781,0.00549692,-0.0396003
105,1816.5,867.37,0,0.0501791,0.00605564,-0.0409121
106,1817.17,867.349,0,0.0502889,0.00581155,-0.0465165
107,1818.04,867.364,0,0.0488241,0.00375284,-0.0459591
108,1818.73,867.414,0,0.0477929,0.0069148,-0.0426984
109,1818.88,867.412,0,0.0483736,0.00414184,-0.0418166
110,1819.42,867.455,0,0.0466781,0.00147724,-0.0409873
111,1820.06,867.452,0,0.048718,0.00210423,-0.0416952
112,1820.61,867.468,0,0.0462947,-0.00032391,-0.0398282
113,1821.09,867.467,0,0.0454525,0.00106372,-0.0406981
114,1821.86,867.51,0,0.0445221,-0.00194851,-0.038325
115,1821.94,867.507,0,0.043878,-0.00219111,-0.0395627
116,1822.09,867.419,0,0.0475067,-0.000991432,-0.0414842
117,1822.29,867.443,0,0.0443342,-0.00108935,-0.0409409
118,1822.31,867.488,0,0.0438651,0.000947983,-0.0366067
119,1822.36,867.489,0,0.0418878,0.00314482,-0.0344686
120,1822.71,867.462,0,0.0414977,0.00321331,-0.0306555
121,1823.07,867.484,0,0.0409704,0.00510663,-0.0263929
