id,x,y,z,yaw,pitch,roll
1,1774.53,866.405,0,0.0198337,-0.0126696,-0.0290926
2,1774.88,866.411,0,0.0202225,-0.0131579,-0.0246004
3,1774.07,866.392,0,0.0194734,-0.0087758,-0.0296729
4,1773.92,866.378,0,0.0201221,-0.00717755,-0.0310118
5,1773.56,866.367,0,0.0198792,-0.00721665,-0.0333881
6,1773.21,866.366,0,0.0195311,-0.00733426,-0.0307247
7,1772.73,866.352,0,0.0197637,-0.00496068,-0.0316081
8,1772.34,866.358,0,0.0196271,-0.0043387,-0.0313455
9,1772.54,866.299,0,0.0201953,-0.0066272,-0.0395615
10,1772.93,866.379,0,0.0202724,-0.0072102,-0.0301139
11,1776.05,866.363,0,0.0214203,-0.0132551,-0.0255315
12,1776.07,866.359,0,0.0216609,-0.0134207,-0.0266209
13,1776.51,866.381,0,0.0212359,-0.0136862,-0.0279307
14,1776.92,866.401,0,0.0213033,-0.0126391,-0.0300185
15,1777.31,866.409,0,0.0214904,-0.00982328,-0.0293609
16,1777.71,866.408,0,0.0205694,-0.00932148,-0.0260899
17,1778.47,866.394,0,0.0211988,-0.00965486,-0.0280858
18,1778.83,866.397,0,0.0216458,-0.00927602,-0.0283538
19,1779.26,866.381,0,0.022108,-0.0100661,-0.0287107
20,1779.84,866.409,0,0.0221127,-0.0103785,-0.0290156
21,1780.1,866.412,0,0.0226156,-0.0134742,-0.0302658
22,1780.54,866.378,0,0.0230975,-0.0129947,-0.0298278
23,1781.24,866.393,0,0.0231907,-0.0122741,-0.0319972
24,1781.26,866.427,0,0.0223811,-0.0118754,-0.0312088
25,1781.68,866.436,0,0.0229342,-0.011361,-0.0324571
26,1782.07,866.426,0,0.0231917,-0.0117005,-0.0327695
27,1782.09,866.477,0,0.0239328,-0.0109599,-0.0325257
28,1782.43,866.568,0,0.0233838,-0.00639187,-0.00942093
29,1782.49,866.592,0,0.0224478,-0.00511429,-0.00984445
30,1783.23,866.585,0,0.0231841,-0.0067231,-0.0103205
31,1784.41,866.559,0,0.0234367,-0.00808546,-0.0123474
32,1784.45,866.547,0,0.0250202,-0.00806285,-0.0109104
33,1785.24,866.554,0,0.0242446,-0.0070124,-0.0155228
34,1785.61,866.448,0,0.025981,-0.00724884,-0.0294121
35,1785.95,866.487,0,0.0249367,-0.00690928,-0.0302181
36,1786.02,866.489,0,0.0249598,-0.00643923,-0.0304495
37,1786.81,866.516,0,0.0247092,-0.00754005,-0.0299347
38,1787.48,866.502,0,0.0264671,-0.0064411,-0.0310431
39,1787.61,866.527,0,0.0258757,-0.00580567,-0.0300955
40,1788.24,866.561,0,0.0266103,-0.00639006,-0.028086
41,1788.32,866.519,0,0.0271845,-0.00249281,-0.0351226
42,1788.73,866.522,0,0.0277523,-0.00301525,-0.0354493
43,1789.41,866.53,0,0.0281699,0.000380925,-0.0362882
44,1789.86,866.585,0,0.0279732,-0.00242651,-0.0321314
45,1790.3,866.613,0,0.0278659,-0.00362858,-0.0352325
46,1790.7,866.634,0,0.0293116,-0.00407656,-0.0326383
