id,x,y,z,yaw,pitch,roll
1,1773.34,866.439,0,0.0190829,0.00129677,-0.0277436
2,1773.14,866.436,0,0.0189914,-0.00144316,-0.0283878
3,1773.14,866.471,0,0.019576,-0.00287836,-0.0236186
4,1772.91,866.5,0,0.0183429,-0.00342563,-0.020541
5,1773.55,866.507,0,0.0198238,-0.00211987,-0.0128795
6,1773.99,866.428,0,0.0195363,0.000969321,-0.0317411
7,1774.34,866.402,0,0.020274,-0.00228166,-0.0340813
8,1774.76,866.389,0,0.0200188,-0.00692298,-0.0379891
9,1775.2,866.387,0,0.0207705,-0.00796205,-0.0393489
10,1775.55,866.396,0,0.0204035,-0.00888176,-0.0384575
11,1775.96,866.386,0,0.0203546,-0.00956646,-0.0401907
12,1776.44,866.412,0,0.0199671,-0.011857,-0.0353539
13,1777.17,866.419,0,0.0200859,-0.0125567,-0.0377872
14,1777.31,866.439,0,0.0210076,-0.0113051,-0.0387623
15,1777.81,866.418,0,0.0206146,-0.0145275,-0.0391248
16,1778.33,866.429,0,0.0196859,-0.0148232,-0.0380682
17,1778.61,866.426,0,0.0200644,-0.0140278,-0.0355178
18,1779.03,866.467,0,0.0207794,-0.00645529,-0.0296526
19,1779.59,866.431,0,0.0205337,-0.00633098,-0.0424004
20,1779.88,866.417,0,0.0211182,-0.00655244,-0.044371
21,1780.18,866.401,0,0.0210129,-0.00848532,-0.0455746
22,1780.64,866.363,0,0.0221589,-0.00950486,-0.0434576
23,1781.35,866.391,0,0.0230511,-0.00930874,-0.0199849
24,1781.73,866.455,0,0.023936,-0.00808877,-0.0180694
25,1781.95,866.438,0,0.0233873,-0.0075824,-0.0175267
26,1782.29,866.418,0,0.0229654,-0.00790403,-0.0224326
27,1782.68,866.412,0,0.0234904,-0.00426161,-0.0261011
28,1783.33,866.471,0,0.022049,-0.00523351,-0.0346288
29,1783.84,866.502,0,0.0223585,-0.00468144,-0.0333166
30,1784.24,866.529,0,0.0225675,-0.00512294,-0.0305629
31,1784.41,866.53,0,0.0228421,-0.00480149,-0.0290644
32,1784.83,866.552,0,0.0235358,-0.00381526,-0.0247418
33,1785.33,866.518,0,0.0233526,-0.00367205,-0.0268048
34,1786,866.508,0,0.0239899,-0.0053063,-0.0305941
35,1786.24,866.525,0,0.0237821,-0.00586164,-0.0285796
36,1786.55,866.538,0,0.0229525,-0.00725896,-0.0313084
37,1787.03,866.543,0,0.0234106,-0.00852692,-0.0311603
38,1787.78,866.568,0,0.0247647,-0.00282573,-0.029185
39,1788.08,866.599,0,0.0243926,-0.000800836,-0.032524
40,1788.37,866.571,0,0.0249721,-0.000258793,-0.0342588
41,1788.72,866.549,0,0.0257457,0.00295059,-0.0367137
42,1789.15,866.553,0,0.0261367,0.00226135,-0.0370337
43,1789.66,866.569,0,0.0272499,0.00179632,-0.0348423
44,1790.06,866.582,0,0.0268152,-0.00166276,-0.0413596
45,1790.38,866.635,0,0.0276232,-0.00277681,-0.0393933
46,1790.9,866.627,0,0.0282604,-0.00395477,-0.0398806
47,1791.36,866.583,0,0.0277781,-0.00134002,-0.0429173
48,1791.86,866.632,0,0.0293544,-0.000917862,-0.0436343
49,1792.28,866.67,0,0.0317001,-0.002306,-0.0431099
50,1792.94,866.671,0,0.0322084,-0.00591328,-0.0463137
51,1793.19,866.676,0,0.0329996,-0.00509495,-0.0482279
52,1793.4,866.666,0,0.0312953,-0.00684163,-0.046281
53,1793.86,866.64,0,0.0318909,-0.0090525,-0.0500435
54,1794.35,866.669,0,0.0315561,-0.00702139,-0.0463919
55,1794.84,866.675,0,0.0323299,-0.00368015,-0.0463977
56,1795.22,866.711,0,0.0339466,-0.00570345,-0.0415997
57,1795.64,866.718,0,0.0337045,-0.00610168,-0.0457575
58,1795.91,866.738,0,0.0341207,-0.00577456,-0.0434429
59,1796.29,866.698,0,0.0336951,-0.00695364,-0.0458184
60,1796.57,866.753,0,0.0354044,-0.0053158,-0.0445083
61,1797.13,866.765,0,0.0359185,-0.00967402,-0.0451685
62,1797.99,866.796,0,0.0380081,-0.0116424,-0.0479152
63,1798.48,866.858,0,0.0390429,-0.010748,-0.0476172
64,1799.04,866.811,0,0.0405365,-0.00522821,-0.0460598
65,1799.24,866.873,0,0.0410805,-0.00671447,-0.040482
66,1799.81,866.803,0,0.0418038,-0.00725341,-0.0402661
67,1800.21,866.75,0,0.0432309,-0.0074019,-0.0455363
68,1800.72,866.824,0,0.0428514,-0.00765943,-0.0430651
69,1801.12,866.925,0,0.0418148,-0.00513197,-0.0338765
70,1801.53,866.991,0,0.0423377,-0.00786377,-0.0300867
71,1801.86,867.002,0,0.0422413,-0.00708229,-0.0354217
72,1802.16,866.932,0,0.0421278,-0.00855069,-0.038282
73,1802.26,866.925,0,0.0413183,-0.00754471,-0.0349259
74,1802.51,866.932,0,0.0417041,-0.00878874,-0.0327572
75,1802.61,866.997,0,0.0431614,-0.00310268,-0.0265586
76,1803.56,867.048,0,0.0425254,-0.00331603,-0.017495
77,1805.1,866.922,0,0.0433295,-0.00337832,-0.0317989
78,1805.54,866.874,0,0.0430777,0.00245986,-0.039714
79,1805.53,866.891,0,0.043301,0.00539984,-0.0367598
80,1805.61,866.945,0,0.0426721,0.00716365,-0.0282699
81,1805.71,867.07,0,0.0401648,0.00699563,-0.0116542
82,1806.06,867.016,0,0.0429497,0.0058739,-0.0132706
83,1806.46,867.075,0,0.0407667,0.00526909,-0.0123176
84,1807.23,867.122,0,0.0429966,0.0087312,-0.011645
85,1807.71,867.111,0,0.0434533,0.00958672,-0.014728
86,1808.13,867.118,0,0.0445398,0.009397,-0.014737
87,1808.49,867.138,0,0.0446199,0.00861457,-0.0166845
88,1809.07,867.14,0,0.0434806,0.00928937,-0.0143213
89,1809.33,867.183,0,0.0433845,0.00755155,-0.014059
90,1809.64,867.169,0,0.0447129,0.00617543,-0.0173378
91,1810.19,867.151,0,0.0451759,0.00692444,-0.0178421
92,1810.78,867.163,0,0.0449952,0.00649684,-0.0176203
93,1811.25,867.167,0,0.0458278,0.00676626,-0.0281381
94,1811.45,867.163,0,0.0470529,0.0055904,-0.0323816
95,1812.25,867.068,0,0.0477333,0.00222801,-0.0438083
96,1812.52,867.151,0,0.0464885,-0.00108663,-0.0469383
97,1813.77,867.1,0,0.0462785,0.000235216,-0.041754
98,1814.06,867.141,0,0.0472074,0.00219725,-0.0390968
99,1814.18,867.197,0,0.0488564,0.00638318,-0.0362085
100,1814.4,867.195,0,0.0498054,0.0070685,-0.0357702
101,1814.96,867.213,0,0.0500981,0.00844765,-0.035704
102,1815.27,867.232,0,0.0496389,0.00976319,-0.0367845
103,1815.45,867.237,0,0.0502994,0.0120601,-0.0380049
104,1815.59,867.246,0,0.0498479,0.0130921,-0.0374577
105,1815.94,867.289,0,0.0499393,0.0140294,-0.0351289
106,1816.64,867.316,0,0.0503152,0.0126369,-0.0362386
107,1816.75,867.306,0,0.0495116,0.011102,-0.0344365
108,1817.7,867.367,0,0.048947,0.0116211,-0.0320833
109,1818.9,867.465,0,0.0458218,0.0056193,-0.0254842
110,1819.4,867.51,0,0.0460676,0.00485089,-0.0219861
111,1819.62,867.478,0,0.0474882,0.00436283,-0.0255722
112,1820.56,867.524,0,0.0478453,-0.000323452,-0.0244063
113,1820.91,867.487,0,0.047465,0.00117043,-0.0249729
114,1821.21,867.516,0,0.0469688,0.00253194,-0.0259677
115,1821.47,867.486,0,0.045678,0.00359091,-0.0274405
116,1822.18,867.481,0,0.0455813,0.00207361,-0.0290794
117,1822.53,867.444,0,0.0453572,0.00223461,-0.0285263
118,1822.97,867.459,0,0.0446193,0.00358554,-0.0291016
119,1823.62,867.535,0,0.041961,0.000772309,-0.0212997
120,1823.8,867.544,0,0.040398,0.00177563,-0.0204104
121,1824.35,867.552,0,0.0385687,0.00170446,-0.0173841
122,1824.71,867.547,0,0.0369514,0.00051866,-0.0158061
123,1825.11,867.585,0,0.0357262,-0.000272687,-0.0147291
124,1825.61,867.645,0,0.0371304,0.00186289,-0.0111812
125,1824.91,867.538,0,0.0353394,0.0022725,-0.0207676
126,1825.06,867.573,0,0.0326231,0.00052133,-0.0216172
127,1825.46,867.513,0,0.0286292,0.00126079,-0.0206592
128,1825.82,867.498,0,0.0275185,0.0039342,-0.0197192
129,1826.27,867.445,0,0.0263403,0.00346449,-0.0231724
130,1826.68,867.51,0,0.0272518,0.00289615,-0.0222344
131,1827.01,867.527,0,0.0248576,0.0028235,-0.0205919
132,1827.46,867.545,0,0.0251315,0.000965968,-0.0213499
133,1827.74,867.556,0,0.0273423,-0.000172093,-0.0207194
134,1827.99,867.572,0,0.0271355,-0.00138513,-0.023461
135,1828.46,867.464,0,0.0232078,-0.0045951,-0.027119
136,1828.65,867.485,0,0.0223912,-0.00336928,-0.0258081
137,1829.23,867.525,0,0.0260927,-0.00102889,-0.040878
138,1829.84,867.539,0,0.0241258,-0.00507339,-0.0379209
139,1830.11,867.545,0,0.0235991,-0.00667003,-0.0386336
140,1830.59,867.526,0,0.0219818,-0.00883483,-0.0365603
141,1831.04,867.505,0,0.0233845,-0.00872203,-0.0392094
142,1831.59,867.535,0,0.0224003,-0.00875054,-0.03862
143,1832,867.546,0,0.0232658,-0.00864259,-0.0324325
144,1832.41,867.544,0,0.0213062,-0.00862279,-0.0330717
145,1832.73,867.488,0,0.0151211,-0.00736245,-0.0348237
146,1833.15,867.534,0,0.014827,-0.00383837,-0.0283906
147,1833.51,867.642,0,0.016669,-0.000847913,-0.0140436
148,1833.82,867.603,0,0.0113001,0.00499862,-0.00841666
149,1834.17,867.695,0,0.0106954,0.0102765,-0.00223669
150,1834.53,867.795,0,0.0127455,0.014969,0.0103018
151,1834.88,867.824,0,0.013134,0.0132198,0.00575596
152,1835.27,867.773,0,0.0122921,0.00822907,-0.00513541
153,1835.81,867.834,0,0.0104742,-0.00251302,-0.0131778
154,1836.1,867.727,0,0.0102837,-0.00933377,-0.0224155
155,1836.51,867.744,0,0.0103403,-0.0172547,-0.0245252
156,1836.84,867.664,0,0.00851729,-0.0234075,-0.0243732
157,1837.45,867.592,0,0.00897702,-0.0247384,-0.0393886
158,1837.73,867.611,0,0.00634532,-0.0170254,-0.0285296
159,1838.05,867.588,0,0.00441323,-0.00908428,-0.0262526
160,1838.6,867.618,0,0.0057567,-0.00617496,-0.0245439
161,1839.06,867.75,0,0.0111063,-0.00563459,-0.0254467
162,1839.35,867.661,0,0.00866248,-0.00364939,-0.0292517
163,1839.77,867.716,0,0.00961142,-0.00306558,-0.0256785
164,1840.22,867.625,0,0.0068541,-0.00567699,-0.0277404
165,1840.51,867.673,0,0.00629747,-0.00372487,-0.0267607
166,1841.14,867.594,0,0.00705833,-0.00268547,-0.0441169
167,1841.69,867.756,0,0.0141776,-0.00407766,-0.0472761
168,1842.13,867.767,0,0.013305,-0.00511698,-0.0455757
169,1842.62,867.763,0,0.0160693,-0.0052114,-0.0474762
170,1843.01,867.738,0,0.013539,-0.00727988,-0.0459396
171,1843.52,867.839,0,0.0171095,-0.00803194,-0.0405495
172,1843.96,867.807,0,0.0167703,-0.0095279,-0.0428977
173,1844.34,867.777,0,0.0159549,-0.0110698,-0.0441574
174,1844.75,867.797,0,0.0171103,-0.00755897,-0.0457794
175,1845.11,867.761,0,0.015715,-0.00826073,-0.0468626
176,1845.52,867.789,0,0.0154376,-0.00965626,-0.044088
177,1846,867.783,0,0.0156255,-0.0105647,-0.0435847
178,1846.39,867.793,0,0.0158493,-0.00704056,-0.041117
179,1846.9,867.771,0,0.0156277,-0.00814728,-0.041808
180,1847.14,867.768,0,0.0146466,-0.00872227,-0.0412376
181,1847.71,867.827,0,0.0147221,-0.00795156,-0.0384446
182,1848.2,867.815,0,0.0145966,-0.00942265,-0.0382159
183,1848.57,867.833,0,0.015792,-0.00938103,-0.0398079
184,1849.04,867.839,0,0.0166214,-0.0089206,-0.0401499
185,1849.48,867.804,0,0.01645,-0.0099601,-0.0438515
186,1849.92,867.7,0,0.0151611,-0.00758174,-0.0418551
187,1850.36,867.815,0,0.0199647,-0.003071,-0.0398616
188,1850.63,867.813,0,0.0181442,0.0010755,-0.0326051
189,1851.09,867.643,0,0.0145587,0.00123721,-0.0317819
190,1851.54,867.843,0,0.022955,0.00525107,-0.0280154
191,1851.94,867.865,0,0.0239746,0.00587636,-0.0245942
192,1852.22,867.881,0,0.0226042,0.00352994,-0.0124473
193,1852.61,867.826,0,0.0198687,0.00559848,-0.00952321
194,1853.06,867.795,0,0.0203574,0.00505295,-0.00973416
195,1853.51,867.767,0,0.0216449,0.00195847,-0.0150002
196,1853.87,867.941,0,0.0277334,0.00268672,-0.017166
197,1854.2,868.017,0,0.0310988,0.00233004,-0.0186895
198,1854.64,867.972,0,0.0301297,0.00430059,-0.016401
199,1855.2,867.959,0,0.0316867,0.00172312,-0.0221269
200,1855.36,867.946,0,0.0319289,0.00225043,-0.0213973
201,1855.85,867.964,0,0.0334476,0.00301355,-0.0216927
202,1856.32,867.964,0,0.0374099,0.0043789,-0.0329048
203,1856.93,867.974,0,0.0400962,0.0036913,-0.0336142
204,1857.13,867.951,0,0.0403039,0.0033306,-0.030372
205,1857.43,867.955,0,0.0428922,2.28318e-05,-0.0290046
206,1857.64,867.709,0,0.0359569,-0.00109101,-0.0288341
207,1858.13,867.946,0,0.0431086,-0.00785491,-0.0200165
208,1858.43,868.007,0,0.0440721,-0.0111842,-0.0180534
209,1858.79,867.939,0,0.0427441,-0.008413,-0.0172116
210,1859.26,868.05,0,0.0483806,-0.00677586,-0.0182967
211,1859.52,867.985,0,0.0474618,-0.00501186,-0.0177258
212,1859.85,867.987,0,0.0485319,-0.00239473,-0.0184891
213,1860,867.917,0,0.0436689,-0.0010452,-0.0171353
214,1860.34,868.152,0,0.0529203,-0.000425891,-0.0229516
215,1860.87,868.247,0,0.0559859,0.00266573,-0.0207082
216,1861.17,868.138,0,0.0546675,0.00662393,-0.028564
217,1861.43,868.108,0,0.0553041,0.00804061,-0.0292571
218,1861.89,868.122,0,0.0571676,0.00593474,-0.0329592
219,1862.05,868.129,0,0.0572556,0.00646442,-0.0300586
220,1862.48,868.213,0,0.0588789,0.00561735,-0.0264604
221,1862.7,868.218,0,0.0605639,0.00195928,-0.0270883
222,1863.04,868.21,0,0.0617596,0.00124762,-0.0317575
223,1863.36,868.266,0,0.0625491,-0.0029633,-0.0210026
224,1863.65,868.309,0,0.0633469,-0.00586684,-0.0218456
225,1863.94,868.304,0,0.063932,-0.00743262,-0.0288733
226,1864.3,868.326,0,0.0630953,-0.00778066,-0.0260277
227,1864.6,868.373,0,0.0610849,-0.00739411,-0.0264818
228,1864.91,868.298,0,0.0637113,-0.00777011,-0.0420558
229,1865.22,868.322,0,0.0659783,-0.00528379,-0.039663
230,1865.55,868.428,0,0.0662416,-0.0063408,-0.0307342
231,1865.82,868.399,0,0.0662496,-0.00678471,-0.0326154
232,1866.17,868.46,0,0.0663306,-0.0102676,-0.0181584
