id,x,y,z,yaw,pitch,roll
1,1773.43,866.427,0,0.0191426,-0.00944855,-0.0281725
2,1773.26,866.397,0,0.0192868,-0.00746987,-0.0330383
3,1773.13,866.403,0,0.0190596,-0.0056221,-0.0344864
4,1772.8,866.41,0,0.0185698,-0.00470213,-0.0342831
5,1773.57,866.413,0,0.0193157,-0.00584179,-0.0330299
6,1774.03,866.398,0,0.0188764,-0.003766,-0.0379193
7,1774.48,866.379,0,0.0197457,-0.00518567,-0.0381243
8,1774.69,866.419,0,0.0193,-0.0086174,-0.0303708
9,1775.27,866.441,0,0.0198298,-0.0138877,-0.0257717
10,1775.62,866.421,0,0.0203723,-0.0146149,-0.0244507
11,1776.14,866.422,0,0.0200057,-0.0149917,-0.0245973
12,1776.38,866.43,0,0.0204389,-0.0146316,-0.0222035
13,1776.73,866.374,0,0.0204627,-0.0107422,-0.0386178
14,1777.3,866.392,0,0.0205392,-0.0115876,-0.0394826
15,1777.67,866.383,0,0.020363,-0.0124264,-0.040384
16,1778.14,866.389,0,0.0201321,-0.00868582,-0.0344317
17,1778.56,866.401,0,0.01913,-0.00893121,-0.0357175
18,1779.15,866.451,0,0.0205699,-0.00687651,-0.0307218
19,1779.45,866.447,0,0.0205783,-0.00808015,-0.0286687
20,1779.94,866.448,0,0.021498,-0.00875759,-0.0287824
21,1780.44,866.454,0,0.0210562,-0.0115714,-0.0312176
22,1780.86,866.418,0,0.022552,-0.0132569,-0.0281313
23,1781.22,866.47,0,0.0213702,-0.0121152,-0.0241342
24,1781.46,866.48,0,0.0216877,-0.0120696,-0.0239454
25,1781.91,866.521,0,0.022326,-0.00676505,-0.0193257
26,1782.28,866.497,0,0.0232731,-0.0070611,-0.0193498
27,1782.68,866.496,0,0.0225516,-0.00306035,-0.0246675
28,1783.12,866.477,0,0.0233561,-0.00289482,-0.027951
29,1783.44,866.477,0,0.0237088,-0.00343356,-0.0260604
30,1784.05,866.474,0,0.024196,-0.00417547,-0.0272965
31,1784.39,866.492,0,0.0237886,-0.00359031,-0.026116
32,1784.71,866.509,0,0.0241011,-0.00310491,-0.0262154
33,1785.38,866.501,0,0.0241418,-0.00347584,-0.027156
34,1786,866.503,0,0.0239892,-0.00497405,-0.0317859
35,1786.24,866.532,0,0.023221,-0.0073817,-0.0308504
36,1786.55,866.531,0,0.0229082,-0.00743809,-0.0335159
37,1787.04,866.538,0,0.0236727,-0.00925043,-0.0315142
38,1787.69,866.579,0,0.0241801,-0.00653941,-0.029024
39,1787.88,866.603,0,0.0239457,-0.00610769,-0.0297681
40,1788.29,866.556,0,0.0260132,-0.00461695,-0.0298177
41,1788.7,866.537,0,0.0260021,0.00312501,-0.0367829
42,1789.12,866.543,0,0.0265375,0.00198963,-0.0364827
43,1789.58,866.545,0,0.0280082,0.000920237,-0.0351138
44,1790.07,866.599,0,0.0268286,-0.00162998,-0.0359141
45,1790.41,866.62,0,0.0265159,-0.00552269,-0.0387313
46,1790.91,866.622,0,0.0273255,-0.00583782,-0.0386088
47,1791.33,866.613,0,0.0270962,-0.00652506,-0.0390292
48,1791.83,866.62,0,0.0292083,-0.00131508,-0.0471867
49,1792.33,866.627,0,0.0313978,-0.0028951,-0.0454972
50,1792.96,866.652,0,0.0318559,-0.00512016,-0.0446368
51,1793.36,866.639,0,0.032454,-0.0042035,-0.0458356
52,1793.65,866.679,0,0.0331865,-0.00466503,-0.0425114
