"id","x","y","z","yaw","pitch","roll"
1,1774.36,866.406,0,0.024024,-0.0158161,-0.00921995
2,1774.36,866.418,0,0.023963,-0.0164151,-0.00889435
3,1774.34,866.428,0,0.0238166,-0.0159192,-0.00765525
4,1774.27,866.442,0,0.0237624,-0.0153346,-0.00760658
5,1774.22,866.457,0,0.0241024,-0.0141791,-0.00921817
6,1774.23,866.474,0,0.0239943,-0.0137938,-0.00969222
7,1774.17,866.482,0,0.0228577,-0.0101818,-0.0139487
8,1774.14,866.472,0,0.0225445,-0.00901945,-0.0182807
9,1774.14,866.442,0,0.0231286,-0.0070301,-0.0227089
10,1774.35,866.387,0,0.0232195,-0.00485692,-0.0251281
11,1774.34,866.385,0,0.0231131,-0.00464074,-0.0247632
12,1774.34,866.3,0,0.0241687,-0.00431228,-0.0250491
13,1774.35,866.258,0,0.0233156,-0.00663668,-0.0274423
14,1774.32,866.27,0,0.0235865,-0.00136676,-0.0257192
15,1774.28,866.271,0,0.0238677,-0.00335466,-0.0263785
16,1774.28,866.315,0,0.0237741,-0.00504486,-0.0244791
17,1774.29,866.312,0,0.023793,-0.00528835,-0.0217738
18,1774.28,866.304,0,0.0242138,-0.00530198,-0.0194274
19,1774.28,866.308,0,0.0246439,-0.00484858,-0.0176233
20,1774.25,866.278,0,0.025392,-0.00239671,-0.0215565
21,1774.25,866.271,0,0.0259109,-0.0021371,-0.0284728
22,1774.25,866.274,0,0.0252624,-0.00205533,-0.0264868
23,1774.3,866.314,0,0.0244684,-0.00486289,-0.0212206
24,1774.28,866.314,0,0.0246456,-0.00416547,-0.0200676
25,1774.29,866.295,0,0.024582,-0.00497013,-0.0208087
26,1774.27,866.283,0,0.0248227,-0.00563045,-0.0217701
27,1774.27,866.282,0,0.0251318,-0.00660177,-0.0206352
28,1774.26,866.284,0,0.0255866,-0.00729527,-0.0174154
29,1774.25,866.269,0,0.0249975,-0.00722109,-0.016538
30,1774.26,866.237,0,0.0252867,-0.00748378,-0.017158
31,1774.28,866.214,0,0.0261155,-0.0056071,-0.0181806
32,1774.26,866.221,0,0.0256543,-0.00600658,-0.0218858
33,1774.29,866.225,0,0.0260164,-0.00541733,-0.0229967
34,1774.29,866.221,0,0.0261771,-0.00692725,-0.024843
35,1774.29,866.21,0,0.0258984,-0.00793635,-0.0242682
36,1774.29,866.228,0,0.0259243,-0.00797383,-0.0254728
37,1774.3,866.249,0,0.0264265,-0.00842704,-0.0245242
38,1774.3,866.259,0,0.0262262,-0.00841884,-0.0229503
39,1774.29,866.218,0,0.0266397,-0.00790642,-0.0246585
40,1774.25,866.23,0,0.0262373,-0.00795818,-0.023044
41,1774.25,866.219,0,0.0261248,-0.00850841,-0.0225939
42,1774.26,866.223,0,0.026965,-0.0066299,-0.0221711
43,1774.25,866.253,0,0.0271463,-0.00749551,-0.0224412
44,1774.25,866.234,0,0.0273854,-0.00685155,-0.0239751
45,1774.26,866.221,0,0.0270579,-0.00739406,-0.025289
46,1774.27,866.223,0,0.0271251,-0.00802157,-0.0256134
47,1774.23,866.243,0,0.0270107,-0.00766004,-0.0254728
48,1774.23,866.24,0,0.0274574,-0.00868325,-0.0250682
49,1774.22,866.268,0,0.0283131,-0.00877605,-0.023311
50,1774.22,866.241,0,0.0281285,-0.00930675,-0.02495
51,1774.21,866.225,0,0.0269761,-0.0100571,-0.0246348
52,1774.23,866.181,0,0.0277741,-0.0121017,-0.0237272
53,1774.23,866.168,0,0.028252,-0.0137558,-0.023174
54,1774.23,866.147,0,0.0280972,-0.0115885,-0.0223181
55,1774.24,866.168,0,0.0286677,-0.00977539,-0.0213933
56,1774.25,866.179,0,0.0288143,-0.0107862,-0.0203915
57,1774.3,866.177,0,0.0291443,-0.0136727,-0.0195481
58,1774.34,866.157,0,0.0288433,-0.0115114,-0.0183267
59,1774.34,866.18,0,0.028727,-0.0126375,-0.0188407
60,1774.3,866.158,0,0.0295681,-0.0146826,-0.0177255
61,1774.29,866.153,0,0.0293303,-0.0163433,-0.01802
62,1774.3,866.17,0,0.0293914,-0.0172741,-0.0174585
63,1774.29,866.174,0,0.0301918,-0.0183935,-0.0173747
64,1774.3,866.132,0,0.0299636,-0.0185864,-0.0194472
65,1774.25,866.164,0,0.0311609,-0.020561,-0.0208376
66,1774.27,866.142,0,0.0320664,-0.0274755,-0.0251779
67,1774.3,866.111,0,0.032172,-0.0317936,-0.0278519
68,1774.32,866.088,0,0.0326779,-0.0318842,-0.0295713
69,1774.34,866.082,0,0.0324389,-0.0330328,-0.0281705
70,1774.34,866.115,0,0.0328919,-0.0320604,-0.0281137
71,1774.34,866.12,0,0.0330636,-0.0317175,-0.0276548
72,1774.31,866.15,0,0.0327251,-0.0304315,-0.0256924
73,1774.27,866.166,0,0.0323349,-0.0304627,-0.027749
74,1774.28,866.15,0,0.0326941,-0.0312188,-0.0278445
75,1774.3,866.162,0,0.0332564,-0.0322234,-0.0267577
76,1774.32,866.157,0,0.0330944,-0.0332537,-0.0280548
77,1774.31,866.165,0,0.033518,-0.0338997,-0.0284046
78,1774.3,866.165,0,0.0337205,-0.0336595,-0.0277898
79,1774.3,866.154,0,0.0328318,-0.0342247,-0.0284222
80,1774.29,866.121,0,0.0331047,-0.0342838,-0.0289804
81,1774.35,866.146,0,0.0330301,-0.0346468,-0.0295297
82,1774.32,866.143,0,0.0343108,-0.0345421,-0.0296224
83,1774.3,866.148,0,0.0351762,-0.0353653,-0.0290579
84,1774.31,866.15,0,0.0357937,-0.0351056,-0.0297694
85,1774.32,866.172,0,0.0352387,-0.034059,-0.0283112
86,1774.32,866.194,0,0.0347706,-0.0347477,-0.0289045
87,1774.32,866.223,0,0.0347595,-0.0350159,-0.0286271
88,1774.32,866.23,0,0.0350014,-0.0336772,-0.0302602
89,1774.31,866.222,0,0.03732,-0.033205,-0.0325197
90,1774.3,866.219,0,0.0374956,-0.0319657,-0.0331728
91,1774.26,866.177,0,0.0357108,-0.0269806,-0.0405521
92,1774.24,866.198,0,0.0356585,-0.0255645,-0.044615
93,1774.24,866.18,0,0.0356098,-0.0245602,-0.046266
94,1774.23,866.176,0,0.0359269,-0.0240804,-0.0458773
95,1774.23,866.153,0,0.0360304,-0.022202,-0.0479195
96,1774.23,866.143,0,0.0360367,-0.0218584,-0.0514729
97,1774.22,866.152,0,0.0369445,-0.0212991,-0.0520552
98,1774.25,866.154,0,0.0368375,-0.0196205,-0.0519243
99,1774.25,866.16,0,0.0375506,-0.0187813,-0.051269
100,1774.25,866.166,0,0.0375071,-0.018213,-0.049836
101,1774.24,866.175,0,0.0374313,-0.0167417,-0.0483108
102,1774.25,866.2,0,0.0370064,-0.0156078,-0.0505816
103,1774.26,866.16,0,0.0366754,-0.0164431,-0.0543971
104,1774.27,866.154,0,0.0373217,-0.0178075,-0.0548945
105,1774.25,866.185,0,0.0372471,-0.0174634,-0.0554468
106,1774.27,866.187,0,0.0378021,-0.019125,-0.0564583
107,1774.28,866.147,0,0.0371453,-0.0188482,-0.0586699
108,1774.26,866.155,0,0.0363438,-0.0202501,-0.0598959
109,1774.25,866.158,0,0.0362469,-0.021678,-0.0603867
110,1774.26,866.139,0,0.0355024,-0.0231525,-0.0615551
111,1774.24,866.116,0,0.0353504,-0.0235996,-0.0614715
112,1774.25,866.081,0,0.0350684,-0.0242091,-0.0620469
113,1774.25,866.052,0,0.0355679,-0.0196997,-0.0580763
114,1774.24,866.06,0,0.0346776,-0.0199184,-0.0554479
115,1774.21,866.046,0,0.0338008,-0.0198294,-0.053666
116,1774.21,865.989,0,0.0350197,-0.0189338,-0.0540801
117,1774.18,865.966,0,0.0359941,-0.0192894,-0.0535722
118,1774.18,865.925,0,0.0357438,-0.0188459,-0.055683
119,1774.19,865.893,0,0.0330796,-0.0201204,-0.0561123
120,1774.21,865.888,0,0.031704,-0.0199243,-0.0552289
121,1774.25,865.891,0,0.0314692,-0.0203892,-0.056012
122,1774.28,865.947,0,0.0317213,-0.0199346,-0.0552211
123,1774.21,865.98,0,0.0317338,-0.0178339,-0.0552464
124,1774.22,865.964,0,0.0308526,-0.0190639,-0.0572384
125,1774.25,865.972,0,0.029046,-0.0200632,-0.0556463
126,1774.26,865.978,0,0.0283931,-0.020195,-0.0542829
127,1774.22,865.924,0,0.0309057,-0.0160611,-0.0561277
128,1774.23,865.964,0,0.0301069,-0.0155062,-0.0553348
129,1774.21,865.979,0,0.0307971,-0.0172215,-0.0544899
130,1774.22,866.011,0,0.0306032,-0.0160674,-0.0523254
131,1774.24,866.023,0,0.030309,-0.0168587,-0.0521903
132,1774.26,866.015,0,0.0289659,-0.0161492,-0.0525543
133,1774.25,865.99,0,0.0284022,-0.0110342,-0.0491273
134,1774.28,866.007,0,0.0290591,-0.0104343,-0.0517317
135,1774.27,866.005,0,0.0277942,-0.00906013,-0.0547876
136,1774.2,865.928,0,0.027598,-0.0102444,-0.0615027
137,1774.29,865.931,0,0.0274348,-0.0121312,-0.0606078
138,1774.29,865.926,0,0.0263978,-0.0142377,-0.0656834
139,1774.28,865.884,0,0.0272446,-0.0189776,-0.0666015
140,1774.32,865.852,0,0.0257356,-0.0216902,-0.0674582
141,1774.37,865.828,0,0.0240597,-0.0242982,-0.0686014
142,1774.39,865.799,0,0.0251258,-0.0295141,-0.0673694
143,1774.4,865.762,0,0.0249313,-0.0286587,-0.0673526
144,1774.38,865.801,0,0.0254384,-0.0211824,-0.0590241
145,1774.26,865.887,0,0.0255711,-0.0180717,-0.05417
146,1774.27,865.91,0,0.0239968,-0.0178677,-0.0492364
147,1774.29,865.924,0,0.0222083,-0.0139094,-0.0404856
148,1774.32,865.951,0,0.0215758,-0.0156401,-0.0343973
149,1774.39,865.928,0,0.0193981,-0.0195994,-0.0321642
150,1774.29,865.942,0,0.0214806,-0.0047419,-0.0300491
151,1774.27,865.931,0,0.0185563,0.00215678,-0.0353522
152,1774.24,865.892,0,0.0156021,0.00464439,-0.0447323
153,1774.19,865.841,0,0.0149237,0.0123369,-0.0626402
154,1774.24,865.868,0,0.0132507,0.00102657,-0.0679519
155,1774.23,865.761,0,0.0151146,-0.0054587,-0.0793296
156,1774.28,865.741,0,0.0182351,-0.00782134,-0.0812076
157,1774.34,865.781,0,0.0195726,-0.0134378,-0.0746466
158,1774.35,865.817,0,0.0192451,-0.013612,-0.0648698
159,1774.36,865.801,0,0.0204819,-0.0248299,-0.0622926
160,1774.37,865.892,0,0.0220579,-0.0217531,-0.057189
161,1774.33,865.914,0,0.0220878,-0.0187114,-0.055873
162,1774.28,865.929,0,0.0222527,-0.0143587,-0.0497654
163,1774.29,865.922,0,0.0218053,-0.0145613,-0.0497987
164,1774.25,865.927,0,0.0197184,-0.0132494,-0.0477787
165,1774.22,865.996,0,0.0214248,-0.0116798,-0.0446951
166,1774.28,865.992,0,0.0212039,-0.0129226,-0.0462766
167,1774.37,865.965,0,0.0196155,-0.0139533,-0.0471152
168,1774.4,865.907,0,0.0192366,-0.0173408,-0.0505429
169,1774.44,865.896,0,0.0190764,-0.0190994,-0.052675
170,1774.46,865.752,0,0.0178723,-0.0235527,-0.0600741
171,1774.45,865.739,0,0.017669,-0.0241136,-0.0622465
172,1774.39,865.758,0,0.019122,-0.0234448,-0.0615873
173,1774.4,865.751,0,0.0188671,-0.0237672,-0.0633296
174,1774.36,865.719,0,0.0168783,-0.0219518,-0.0616767
175,1774.38,865.741,0,0.0177665,-0.0227269,-0.0634285
176,1774.31,865.73,0,0.0175663,-0.0219501,-0.0629077
177,1774.39,865.802,0,0.0143818,-0.0176707,-0.0531888
178,1774.45,865.756,0,0.0134763,-0.0196355,-0.0532387
179,1774.5,865.784,0,0.0159475,-0.0195584,-0.0528495
180,1774.49,865.782,0,0.01765,-0.0201406,-0.0535263
181,1774.43,865.768,0,0.0166156,-0.0223878,-0.0530315
182,1774.43,865.751,0,0.0175531,-0.022926,-0.05339
183,1774.39,865.738,0,0.0187447,-0.0211576,-0.0572637
184,1774.42,865.734,0,0.0181322,-0.0227113,-0.0597348
185,1774.39,865.763,0,0.0187267,-0.0253963,-0.0599053
186,1774.34,865.751,0,0.0199655,-0.0250388,-0.0572593
187,1774.34,865.73,0,0.0206266,-0.0229917,-0.0563292
188,1774.31,865.7,0,0.0219622,-0.0213502,-0.0551029
189,1774.35,865.626,0,0.0198676,-0.0182135,-0.0499137
190,1774.31,865.633,0,0.0198589,-0.0159061,-0.0457987
191,1774.34,865.643,0,0.0216775,-0.0149294,-0.0453516
192,1774.32,865.603,0,0.0220024,-0.0142781,-0.0464115
193,1774.31,865.566,0,0.0235905,-0.0141513,-0.0472621
194,1774.22,865.469,0,0.0229079,-0.0151685,-0.052362
195,1774.21,865.477,0,0.0238888,-0.0145224,-0.0522172
196,1774.22,865.465,0,0.025031,-0.0107643,-0.0539042
197,1774.21,865.473,0,0.0268093,-0.00827951,-0.0546735
198,1774.23,865.502,0,0.0277075,-0.00815622,-0.0559694
199,1774.25,865.559,0,0.0290605,-0.00968109,-0.0560483
200,1774.23,865.624,0,0.0300922,-0.0074434,-0.0557909
201,1774.27,865.593,0,0.0317023,-0.00628149,-0.0598582
202,1774.25,865.584,0,0.0317098,-0.00710513,-0.0592761
