"id","x","y","z","yaw","pitch","roll"
1,1773.25,866.329,0,0.0710746,-0.0677283,-0.058913
2,1773.27,866.327,0,0.0703054,-0.0716585,-0.0607442
3,1773.25,866.366,0,0.0678193,-0.0725881,-0.0634906
4,1773.2,866.444,0,0.0492709,-0.069527,-0.0628585
5,1773.2,866.452,0,0.0474443,-0.0696329,-0.0637398
6,1773.19,866.47,0,0.044805,-0.0695248,-0.0649056
7,1773.02,866.569,0,0.0312643,-0.0552205,-0.0617397
8,1772.96,866.576,0,0.0347566,-0.0535633,-0.0579835
9,1772.95,866.602,0,0.0388,-0.0602567,-0.0580271
10,1772.99,866.456,0,0.0417954,-0.0683879,-0.0494289
11,1772.89,866.477,0,0.0275811,-0.0787329,-0.0492339
12,1772.81,866.481,0,0.0231285,-0.0757516,-0.0484645
13,1772.81,866.477,0,0.027284,-0.0665913,-0.0492519
14,1772.9,866.462,0,0.0308492,-0.062068,-0.0516805
15,1772.97,866.47,0,0.0352326,-0.0615681,-0.0499339
16,1772.97,866.455,0,0.0365187,-0.0626835,-0.0499459
17,1772.94,866.389,0,0.0397488,-0.0638075,-0.0495193
18,1772.82,866.265,0,0.0256219,-0.0591623,-0.0514098
19,1772.88,866.201,0,0.033977,-0.0528972,-0.050447
20,1772.91,866.2,0,0.0407853,-0.0532403,-0.0494117
21,1772.93,866.226,0,0.0421038,-0.0584947,-0.0498162
22,1773,866.25,0,0.0419121,-0.0707787,-0.0515063
23,1773.03,866.301,0,0.0379309,-0.0812772,-0.051937
24,1772.98,866.353,0,0.0261469,-0.0858492,-0.051995
25,1772.83,866.358,0,0.015738,-0.0874935,-0.055078
26,1772.85,866.362,0,0.0184608,-0.0885876,-0.0560819
27,1773.01,866.381,0,0.0306717,-0.086132,-0.0600639
28,1773.03,866.398,0,0.0310782,-0.0856837,-0.0602789
29,1773.03,866.384,0,0.0294042,-0.0856646,-0.0587618
30,1772.96,866.372,0,0.0227354,-0.0902603,-0.0567421
31,1772.6,866.331,0,0.0237348,-0.0902938,-0.0483658
32,1772.68,866.323,0,0.0417411,-0.0932779,-0.0526219
33,1772.7,866.328,0,0.0457043,-0.0929778,-0.0539636
34,1772.69,866.331,0,0.0456076,-0.0886621,-0.055914
35,1772.58,866.325,0,0.0421775,-0.0655927,-0.0604623
36,1772.52,866.339,0,0.0397243,-0.0474379,-0.0617803
37,1772.44,866.297,0,0.0322071,-0.0430451,-0.0611408
38,1772.47,866.248,0,0.0351193,-0.0418146,-0.0612772
39,1772.49,866.128,0,0.0564734,-0.0437869,-0.0648153
40,1772.58,866.076,0,0.0722973,-0.0407522,-0.064886
41,1772.6,866.072,0,0.0753389,-0.0377963,-0.0654641
42,1772.59,866.072,0,0.0749501,-0.0346151,-0.0657501
43,1772.54,866.073,0,0.0719521,-0.0308589,-0.0662804
44,1772.38,866.03,0,0.0586042,-0.0329483,-0.0693863
45,1772.41,866.022,0,0.0582332,-0.0388418,-0.0678174
46,1772.44,866.013,0,0.0571354,-0.0567964,-0.0651915
47,1772.44,866.003,0,0.0553461,-0.0623089,-0.0659384
48,1772.44,866.014,0,0.0530695,-0.0632378,-0.0662389
49,1772.41,866.009,0,0.0280211,-0.0553625,-0.0641815
50,1772.45,865.99,0,0.0284241,-0.058132,-0.064423
51,1772.46,865.964,0,0.0296866,-0.0660553,-0.0665731
52,1772.48,865.958,0,0.0304087,-0.0681572,-0.0651753
53,1772.46,865.975,0,0.0304281,-0.0677944,-0.0629911
54,1772.44,865.98,0,0.0285687,-0.0651147,-0.0617751
55,1772.41,865.994,0,0.0247943,-0.0567246,-0.0597067
56,1772.42,865.997,0,0.0247351,-0.0543458,-0.0590143
57,1772.44,865.999,0,0.0341098,-0.050176,-0.0570028
58,1772.5,866.003,0,0.0591284,-0.0459763,-0.0572347
59,1772.5,866.001,0,0.0597267,-0.0454335,-0.056933
60,1772.45,866.001,0,0.0565652,-0.0453968,-0.0569206
61,1772.35,865.962,0,-0.0234813,-0.0317527,-0.0619473
62,1772.36,865.955,0,-0.0243662,-0.037274,-0.0633385
63,1772.39,865.903,0,-0.014215,-0.0511565,-0.0615746
64,1772.39,865.812,0,0.000643842,-0.0661989,-0.0605165
65,1772.42,865.791,0,0.00805082,-0.0762119,-0.0582623
66,1772.42,865.804,0,0.0100728,-0.0784674,-0.0572561
67,1772.42,865.815,0,0.0103316,-0.0775472,-0.0564476
68,1772.42,865.821,0,0.0107601,-0.0761754,-0.0560352
69,1772.41,865.825,0,0.0111961,-0.0765094,-0.0560209
70,1772.41,865.829,0,0.0113957,-0.0761682,-0.0557267
71,1772.41,865.831,0,0.0123483,-0.074812,-0.0553989
72,1772.41,865.839,0,0.0119407,-0.0740424,-0.0547006
73,1772.3,865.875,0,-0.00551238,-0.00439484,-0.0581489
74,1772.26,865.87,0,-0.00784714,0.0175888,-0.050589
75,1772.24,865.859,0,-0.00954866,0.0362028,-0.0434622
76,1772.33,865.806,0,-0.00848145,0.0357197,-0.0391725
77,1772.38,865.739,0,-0.00839901,0.0314206,-0.0383771
78,1772.41,865.696,0,-0.00858859,0.0273797,-0.0385216
79,1772.46,865.661,0,-0.00810375,0.0259402,-0.0388003
80,1772.49,865.655,0,-0.00762587,0.0240815,-0.0388241
81,1772.58,865.661,0,-0.00378066,0.0177248,-0.0382925
82,1772.77,865.753,0,0.0134963,-0.00735401,-0.0338504
83,1773.33,865.807,0,0.0378685,-0.0294654,-0.0283999
84,1773.34,865.797,0,0.039432,-0.0305224,-0.0284307
85,1773.35,865.793,0,0.044876,-0.0330712,-0.028702
86,1773.34,865.807,0,0.0555478,-0.0356828,-0.0286911
87,1773.34,865.823,0,0.0609189,-0.0380214,-0.0284033
88,1773.32,865.833,0,0.0615181,-0.0389585,-0.0282866
89,1773.3,865.867,0,0.0619544,-0.0415619,-0.0284392
90,1773.33,865.935,0,0.0609205,-0.0509481,-0.0308838
91,1773.36,865.942,0,0.0629637,-0.0552937,-0.0329987
92,1773.37,865.933,0,0.0633725,-0.0541735,-0.0347281
93,1773.37,865.91,0,0.0632955,-0.0532399,-0.0365103
94,1773.4,865.831,0,0.0598312,-0.0529175,-0.0447565
95,1773.39,865.822,0,0.0582734,-0.0518482,-0.0451113
96,1773.38,865.81,0,0.0568036,-0.0501086,-0.0446156
97,1773.36,865.81,0,0.0536517,-0.0427186,-0.0454478
98,1773.35,865.757,0,0.0509112,-0.0303454,-0.0478004
99,1773.34,865.74,0,0.04793,-0.0304982,-0.048813
100,1773.34,865.739,0,0.0451036,-0.0288085,-0.0495072
101,1773.36,865.851,0,0.00755669,-0.0436464,-0.0455559
102,1773.36,865.982,0,-0.0118174,-0.0420931,-0.0445378
103,1773.37,865.969,0,-0.0115448,-0.0430501,-0.044844
104,1773.38,865.954,0,-0.0108533,-0.043268,-0.0446698
105,1773.38,865.944,0,-0.0106002,-0.0446433,-0.044556
106,1773.35,865.913,0,-0.0130296,-0.0458632,-0.0445409
107,1773.31,865.932,0,-0.0176737,-0.046179,-0.0421625
108,1773.31,865.944,0,-0.0271558,-0.0430354,-0.0429253
109,1773.37,865.935,0,-0.026835,-0.040611,-0.0440242
110,1773.38,865.932,0,-0.0262901,-0.0368132,-0.044328
111,1773.34,865.959,0,-0.0250653,-0.030711,-0.0463311
112,1773.26,865.973,0,-0.0327405,-0.0247963,-0.0468284
113,1773.26,865.959,0,-0.0352339,-0.023759,-0.0468144
114,1773.15,865.859,0,-0.0415352,-0.0331233,-0.045804
