id,x,y,z,yaw,pitch,roll
1,1773.52,866.423,0,0.0257062,-0.0130973,0.00730048
2,1773.66,866.428,0,0.0229256,-0.0100134,0.00454615
3,1773.68,866.45,0,0.0222932,-0.00884932,0.00274912
4,1773.67,866.461,0,0.0217676,-0.00823553,0.000306793
5,1773.6,866.439,0,0.0211262,-0.006898,-0.0122696
6,1773.56,866.409,0,0.0203385,-0.00634219,-0.0191524
7,1773.42,866.383,0,0.0195314,-0.00618509,-0.0221808
8,1773.36,866.381,0,0.0195138,-0.0054872,-0.0224622
9,1773.38,866.437,0,0.0267071,-0.0130417,0.00828913
10,1773.4,866.429,0,0.0272145,-0.0145591,0.00988722
11,1773.4,866.427,0,0.0278361,-0.019281,0.0129647
12,1773.4,866.424,0,0.027907,-0.0194295,0.0129628
13,1773.38,866.425,0,0.026909,-0.0105666,0.0141237
14,1773.37,866.422,0,0.0263951,-0.010204,0.0132231
15,1773.33,866.431,0,0.0254797,-0.016286,0.0116783
16,1773.26,866.409,0,0.0212826,-0.0115233,0.00437544
17,1773.35,866.423,0,0.0246512,-0.0116881,0.0126019
18,1773.34,866.425,0,0.0243411,-0.0110072,0.0119047
19,1773.22,866.396,0,0.0233883,-0.0103921,0.00766873
20,1773.22,866.398,0,0.0231595,-0.0103739,0.00652164
21,1773.25,866.4,0,0.024517,-0.0146233,0.0114855
22,1773.24,866.4,0,0.0237116,-0.0143571,0.0102827
23,1773.23,866.402,0,0.0232721,-0.014506,0.00879881
24,1773.21,866.403,0,0.0229802,-0.0135389,0.00588504
25,1773.21,866.395,0,0.0221715,-0.0124625,0.00106445
26,1773.2,866.375,0,0.0224952,-0.0117176,-0.00196307
27,1773.24,866.369,0,0.0245318,-0.0169807,0.0138272
28,1773.24,866.376,0,0.0238598,-0.0162685,0.0125299
29,1773.24,866.375,0,0.0231344,-0.0153935,0.011774
30,1773.25,866.377,0,0.022881,-0.0147889,0.0113006
31,1773.24,866.377,0,0.0228906,-0.0126331,0.00766428
32,1773.24,866.371,0,0.0230618,-0.0120411,0.00658841
33,1773.26,866.353,0,0.0233433,-0.0117791,0.00483106
34,1773.22,866.305,0,0.022911,-0.0120998,0.00120906
35,1773.26,866.294,0,0.0268873,-0.0169912,0.0117681
36,1773.26,866.289,0,0.0249848,-0.0165744,0.00979617
37,1773.23,866.319,0,0.0238672,-0.0160871,0.00933092
38,1773.23,866.326,0,0.0237595,-0.0158276,0.00835248
39,1773.23,866.334,0,0.0238025,-0.0152128,0.00739859
40,1773.18,866.319,0,0.0237629,-0.013349,0.00498038
41,1773.18,866.304,0,0.0241348,-0.0110081,0.00190166
42,1773.19,866.294,0,0.0241924,-0.0103045,0.00104392
43,1773.2,866.267,0,0.0239799,-0.00925739,-0.00135374
44,1773.21,866.244,0,0.0231378,-0.00848178,-0.00297663
45,1773.22,866.23,0,0.022908,-0.00814596,-0.00392626
46,1773.22,866.212,0,0.0227674,-0.00845045,-0.00498649
47,1773.17,866.209,0,0.0274317,-0.0153669,0.00689606
48,1773.18,866.19,0,0.0244182,-0.0138012,-0.000163216
49,1773.2,866.137,0,0.0233002,-0.0123428,-0.0131293
50,1773.2,866.136,0,0.0231635,-0.012517,-0.0136726
51,1773.21,866.137,0,0.0230629,-0.0126264,-0.0136916
52,1773.24,866.136,0,0.0233553,-0.012653,-0.0139618
53,1773.24,866.141,0,0.0235686,-0.0129928,-0.0140385
54,1773.25,866.129,0,0.0237714,-0.0131358,-0.0145737
55,1773.26,866.123,0,0.0240498,-0.013095,-0.0149439
56,1773.26,866.114,0,0.0243779,-0.0128698,-0.0151015
57,1773.24,866.094,0,0.0249523,-0.0128715,-0.014547
58,1773.24,866.085,0,0.0253232,-0.0130652,-0.0142676
59,1773.23,866.079,0,0.0252217,-0.0131702,-0.0138686
60,1773.23,866.063,0,0.0255062,-0.0134132,-0.0147621
61,1773.22,866.047,0,0.0255604,-0.0135319,-0.0150666
62,1773.21,866.01,0,0.0267926,-0.0134574,-0.0163179
63,1773.2,866.008,0,0.0268667,-0.0131175,-0.0163021
64,1773.22,866.103,0,0.0291691,-0.0155093,0.0128063
65,1773.24,866.108,0,0.0294625,-0.0149451,0.00854343
66,1773.37,866.031,0,0.031643,-0.0145016,-0.0101873
67,1773.37,866.008,0,0.0319536,-0.014379,-0.0126327
68,1773.37,866.009,0,0.0322165,-0.0144023,-0.0136988
69,1773.36,865.998,0,0.0325135,-0.0139754,-0.0165808
70,1773.36,865.994,0,0.0329129,-0.0139205,-0.0173625
71,1773.37,865.986,0,0.0326999,-0.0131675,-0.0192157
72,1773.37,865.991,0,0.0325049,-0.0127517,-0.0198696
73,1773.37,865.995,0,0.0324509,-0.0122516,-0.0205144
74,1773.38,865.984,0,0.0327032,-0.0119583,-0.0211102
75,1773.35,865.962,0,0.0336376,-0.0113942,-0.0219281
76,1773.34,865.954,0,0.0333553,-0.0112793,-0.020887
77,1773.34,865.944,0,0.0332968,-0.0112792,-0.0206945
