id,x,y,z,yaw,pitch,roll
1,1717.1,1014.57,0,-2.19096,-0.0498872,0.0267341
2,1716.88,1014.29,0,-2.19186,-0.0410285,0.0208294
3,1716.62,1013.99,0,-2.19268,-0.0310917,0.0108256
4,1716.44,1013.73,0,-2.1921,-0.025015,0.00918806
5,1716.23,1013.42,0,-2.19483,-0.0242972,0.00562377
6,1716.05,1013.1,0,-2.1963,-0.0285303,0.00342173
7,1715.84,1012.81,0,-2.19748,-0.0314167,0.00460252
8,1715.66,1012.5,0,-2.19765,-0.0367307,0.00763398
9,1715.38,1012.17,0,-2.19877,-0.0395223,0.00726556
10,1715.14,1011.88,0,-2.19874,-0.0394654,0.00614044
11,1714.93,1011.62,0,-2.19974,-0.0396171,0.0061302
12,1714.72,1011.26,0,-2.19924,-0.0389963,0.00925499
13,1714.58,1011.05,0,-2.20144,-0.0384781,0.00795337
14,1714.37,1010.74,0,-2.20187,-0.038135,0.00810627
15,1714.15,1010.5,0,-2.2031,-0.0369673,0.00497553
16,1713.98,1010.19,0,-2.20298,-0.0334463,0.00914939
17,1713.76,1009.9,0,-2.20401,-0.0324673,0.0106138
18,1713.54,1009.59,0,-2.20353,-0.0333834,0.00969047
19,1713.32,1009.31,0,-2.20386,-0.033515,0.00600574
20,1713.12,1009.05,0,-2.20453,-0.0348543,0.00412483
21,1712.89,1008.75,0,-2.20445,-0.0327299,0.000260245
22,1712.73,1008.53,0,-2.20635,-0.0322496,0.00225687
23,1712.44,1008.17,0,-2.20533,-0.0340684,0.0010907
24,1712.21,1007.88,0,-2.20586,-0.0347058,0.000437835
25,1711.98,1007.62,0,-2.20514,-0.0338885,-0.00193356
26,1711.76,1007.32,0,-2.20533,-0.0329558,-0.00349721
27,1711.6,1007.08,0,-2.2049,-0.0311465,-0.00365844
28,1711.45,1006.88,0,-2.20521,-0.0294707,-0.00416934
29,1711.27,1006.6,0,-2.206,-0.0293389,-0.00315248
30,1710.94,1006.22,0,-2.20349,-0.0308448,-0.00408542
31,1710.83,1006.05,0,-2.20554,-0.0311838,-0.00395378
32,1710.73,1005.9,0,-2.20661,-0.0313209,-0.00382448
33,1710.57,1005.63,0,-2.20514,-0.0310755,-0.00310079
